Episode,Total Reward
1.0,13.0
2.0,24.0
3.0,11.0
4.0,53.0
5.0,25.0
6.0,15.0
7.0,27.0
8.0,17.0
9.0,13.0
10.0,14.0
11.0,14.0
12.0,15.0
13.0,12.0
14.0,13.0
15.0,14.0
16.0,13.0
17.0,19.0
18.0,18.0
19.0,22.0
20.0,12.0
21.0,37.0
22.0,22.0
23.0,26.0
24.0,21.0
25.0,16.0
26.0,26.0
27.0,12.0
28.0,30.0
29.0,32.0
30.0,20.0
31.0,17.0
32.0,26.0
33.0,22.0
34.0,11.0
35.0,36.0
36.0,9.0
37.0,33.0
38.0,15.0
39.0,23.0
40.0,59.0
41.0,12.0
42.0,29.0
43.0,20.0
44.0,15.0
45.0,23.0
46.0,72.0
47.0,17.0
48.0,9.0
49.0,25.0
50.0,17.0
51.0,13.0
52.0,19.0
53.0,18.0
54.0,15.0
55.0,31.0
56.0,40.0
57.0,15.0
58.0,31.0
59.0,23.0
60.0,17.0
61.0,9.0
62.0,14.0
63.0,12.0
64.0,18.0
65.0,35.0
66.0,18.0
67.0,10.0
68.0,25.0
69.0,42.0
70.0,15.0
71.0,9.0
72.0,11.0
73.0,27.0
74.0,18.0
75.0,17.0
76.0,19.0
77.0,12.0
78.0,14.0
79.0,18.0
80.0,20.0
81.0,20.0
82.0,23.0
83.0,11.0
84.0,12.0
85.0,15.0
86.0,56.0
87.0,11.0
88.0,22.0
89.0,22.0
90.0,27.0
91.0,19.0
92.0,22.0
93.0,36.0
94.0,18.0
95.0,20.0
96.0,25.0
97.0,29.0
98.0,27.0
99.0,9.0
100.0,50.0
101.0,10.0
102.0,21.0
103.0,19.0
104.0,15.0
105.0,39.0
106.0,14.0
107.0,11.0
108.0,13.0
109.0,39.0
110.0,17.0
111.0,16.0
112.0,11.0
113.0,13.0
114.0,15.0
115.0,15.0
116.0,17.0
117.0,12.0
118.0,12.0
119.0,13.0
120.0,15.0
121.0,19.0
122.0,21.0
123.0,12.0
124.0,35.0
125.0,17.0
126.0,17.0
127.0,29.0
128.0,14.0
129.0,16.0
130.0,25.0
131.0,53.0
132.0,11.0
133.0,40.0
134.0,24.0
135.0,12.0
136.0,22.0
137.0,14.0
138.0,23.0
139.0,19.0
140.0,16.0
141.0,16.0
142.0,18.0
143.0,26.0
144.0,14.0
145.0,11.0
146.0,20.0
147.0,34.0
148.0,34.0
149.0,12.0
150.0,15.0
151.0,28.0
152.0,20.0
153.0,53.0
154.0,11.0
155.0,12.0
156.0,25.0
157.0,24.0
158.0,44.0
159.0,40.0
160.0,14.0
161.0,10.0
162.0,14.0
163.0,14.0
164.0,44.0
165.0,19.0
166.0,15.0
167.0,49.0
168.0,15.0
169.0,57.0
170.0,25.0
171.0,16.0
172.0,25.0
173.0,31.0
174.0,14.0
175.0,24.0
176.0,20.0
177.0,21.0
178.0,34.0
179.0,17.0
180.0,93.0
181.0,46.0
182.0,59.0
183.0,66.0
184.0,31.0
185.0,20.0
186.0,30.0
187.0,12.0
188.0,13.0
