Network Size,Total Steps,Average Reward
Small (32-1),18,18.0
Small (32-1),40,22.0
Small (32-1),60,20.0
Small (32-1),107,47.0
Small (32-1),120,13.0
Small (32-1),133,13.0
Small (32-1),159,26.0
Small (32-1),185,26.0
Small (32-1),195,10.0
Small (32-1),210,15.0
Small (32-1),252,42.0
Small (32-1),272,20.0
Small (32-1),319,47.0
Small (32-1),336,17.0
Small (32-1),389,53.0
Small (32-1),407,18.0
Small (32-1),429,22.0
Small (32-1),459,30.0
Small (32-1),487,28.0
Small (32-1),507,20.0
Small (32-1),519,12.0
Small (32-1),535,16.0
Small (32-1),572,37.0
Small (32-1),618,46.0
Small (32-1),639,21.0
Small (32-1),663,24.0
Small (32-1),687,24.0
Small (32-1),705,18.0
Small (32-1),738,33.0
Small (32-1),759,21.0
Small (32-1),769,10.0
Small (32-1),785,16.0
Small (32-1),817,32.0
Small (32-1),835,18.0
Small (32-1),852,17.0
Small (32-1),867,15.0
Small (32-1),882,15.0
Small (32-1),898,16.0
Small (32-1),921,23.0
Small (32-1),938,17.0
Small (32-1),950,12.0
Small (32-1),965,15.0
Small (32-1),984,19.0
Small (32-1),994,10.0
Small (32-1),1006,12.0
Small (32-1),1021,15.0
Small (32-1),1037,16.0
Small (32-1),1089,52.0
Small (32-1),1102,13.0
Small (32-1),1124,22.0
Small (32-1),1139,15.0
Small (32-1),1162,23.0
Small (32-1),1178,16.0
Small (32-1),1189,11.0
Small (32-1),1228,39.0
Small (32-1),1251,23.0
Small (32-1),1283,32.0
Small (32-1),1302,19.0
Small (32-1),1315,13.0
Small (32-1),1328,13.0
Small (32-1),1347,19.0
Small (32-1),1369,22.0
Small (32-1),1385,16.0
Small (32-1),1404,19.0
Small (32-1),1435,31.0
Small (32-1),1450,15.0
Small (32-1),1469,19.0
Small (32-1),1479,10.0
Small (32-1),1492,13.0
Small (32-1),1535,43.0
Small (32-1),1551,16.0
Small (32-1),1560,9.0
Small (32-1),1573,13.0
Small (32-1),1599,26.0
Small (32-1),1617,18.0
Small (32-1),1627,10.0
Small (32-1),1639,12.0
Small (32-1),1649,10.0
Small (32-1),1678,29.0
Small (32-1),1693,15.0
Small (32-1),1713,20.0
Small (32-1),1729,16.0
Small (32-1),1760,31.0
Small (32-1),1772,12.0
Small (32-1),1816,44.0
Small (32-1),1824,8.0
Small (32-1),1847,23.0
Small (32-1),1889,42.0
Small (32-1),1910,21.0
Small (32-1),1922,12.0
Small (32-1),1953,31.0
Small (32-1),1969,16.0
Small (32-1),1983,14.0
Small (32-1),2000,17.0
Small (32-1),2026,26.0
Small (32-1),2035,9.0
Small (32-1),2068,33.0
Small (32-1),2115,47.0
Small (32-1),2129,14.0
Small (32-1),2197,68.0
Small (32-1),2210,13.0
Small (32-1),2222,12.0
Small (32-1),2272,50.0
Small (32-1),2287,15.0
Small (32-1),2297,10.0
Small (32-1),2349,52.0
Small (32-1),2366,17.0
Small (32-1),2387,21.0
Small (32-1),2401,14.0
Small (32-1),2417,16.0
Small (32-1),2439,22.0
Small (32-1),2475,36.0
Small (32-1),2508,33.0
Small (32-1),2525,17.0
Small (32-1),2539,14.0
Small (32-1),2553,14.0
Small (32-1),2570,17.0
Small (32-1),2583,13.0
Small (32-1),2598,15.0
Small (32-1),2610,12.0
Small (32-1),2625,15.0
Small (32-1),2638,13.0
Small (32-1),2655,17.0
Small (32-1),2692,37.0
Small (32-1),2715,23.0
Small (32-1),2728,13.0
Small (32-1),2746,18.0
Small (32-1),2777,31.0
Small (32-1),2800,23.0
Small (32-1),2833,33.0
Small (32-1),2854,21.0
Small (32-1),2875,21.0
Small (32-1),2901,26.0
Small (32-1),2915,14.0
Small (32-1),2936,21.0
Small (32-1),2962,26.0
Small (32-1),2987,25.0
Small (32-1),3009,22.0
Small (32-1),3027,18.0
Small (32-1),3044,17.0
Small (32-1),3070,26.0
Small (32-1),3082,12.0
Small (32-1),3096,14.0
Small (32-1),3115,19.0
Small (32-1),3129,14.0
Small (32-1),3147,18.0
Small (32-1),3162,15.0
Small (32-1),3174,12.0
Small (32-1),3201,27.0
Small (32-1),3229,28.0
Small (32-1),3266,37.0
Small (32-1),3279,13.0
Small (32-1),3292,13.0
Small (32-1),3318,26.0
Small (32-1),3330,12.0
Small (32-1),3348,18.0
Small (32-1),3359,11.0
Small (32-1),3368,9.0
Small (32-1),3388,20.0
Small (32-1),3416,28.0
Small (32-1),3428,12.0
Small (32-1),3445,17.0
Small (32-1),3459,14.0
Small (32-1),3471,12.0
Small (32-1),3488,17.0
Small (32-1),3510,22.0
Small (32-1),3539,29.0
Small (32-1),3550,11.0
Small (32-1),3578,28.0
Small (32-1),3587,9.0
Small (32-1),3632,45.0
Small (32-1),3652,20.0
Small (32-1),3662,10.0
Small (32-1),3674,12.0
Small (32-1),3694,20.0
Small (32-1),3709,15.0
Small (32-1),3722,13.0
Small (32-1),3737,15.0
Small (32-1),3755,18.0
Small (32-1),3765,10.0
Small (32-1),3778,13.0
Small (32-1),3790,12.0
Small (32-1),3800,10.0
Small (32-1),3813,13.0
Small (32-1),3825,12.0
Small (32-1),3836,11.0
Small (32-1),3849,13.0
Small (32-1),3862,13.0
Small (32-1),3885,23.0
Small (32-1),3899,14.0
Small (32-1),3910,11.0
Small (32-1),3920,10.0
Small (32-1),3939,19.0
Small (32-1),3950,11.0
Small (32-1),3964,14.0
Small (32-1),3988,24.0
Small (32-1),4008,20.0
Small (32-1),4024,16.0
Small (32-1),4034,10.0
Small (32-1),4045,11.0
Small (32-1),4056,11.0
Small (32-1),4070,14.0
Small (32-1),4084,14.0
Small (32-1),4102,18.0
Small (32-1),4139,37.0
Small (32-1),4153,14.0
Small (32-1),4168,15.0
Small (32-1),4186,18.0
Small (32-1),4197,11.0
Small (32-1),4206,9.0
Small (32-1),4225,19.0
Small (32-1),4240,15.0
Small (32-1),4266,26.0
Small (32-1),4281,15.0
Small (32-1),4322,41.0
Small (32-1),4341,19.0
Small (32-1),4357,16.0
Small (32-1),4371,14.0
Small (32-1),4389,18.0
Small (32-1),4405,16.0
Small (32-1),4435,30.0
Small (32-1),4454,19.0
Small (32-1),4471,17.0
Small (32-1),4497,26.0
Small (32-1),4509,12.0
Small (32-1),4527,18.0
Small (32-1),4548,21.0
Small (32-1),4572,24.0
Small (32-1),4584,12.0
Small (32-1),4604,20.0
Small (32-1),4617,13.0
Small (32-1),4633,16.0
Small (32-1),4647,14.0
Small (32-1),4662,15.0
Small (32-1),4684,22.0
Small (32-1),4693,9.0
Small (32-1),4704,11.0
Small (32-1),4722,18.0
Small (32-1),4732,10.0
Small (32-1),4751,19.0
Small (32-1),4763,12.0
Small (32-1),4780,17.0
Small (32-1),4792,12.0
Small (32-1),4802,10.0
Small (32-1),4816,14.0
Small (32-1),4830,14.0
Small (32-1),4843,13.0
Small (32-1),4877,34.0
Small (32-1),4896,19.0
Small (32-1),4908,12.0
Small (32-1),4919,11.0
Small (32-1),4948,29.0
Small (32-1),5001,53.0
Small (32-1),5011,10.0
Small (32-1),5024,13.0
Small (32-1),5043,19.0
Small (32-1),5053,10.0
Small (32-1),5068,15.0
Small (32-1),5090,22.0
Small (32-1),5115,25.0
Small (32-1),5127,12.0
Small (32-1),5139,12.0
Small (32-1),5154,15.0
Small (32-1),5173,19.0
Small (32-1),5200,27.0
Small (32-1),5210,10.0
Small (32-1),5226,16.0
Small (32-1),5242,16.0
Small (32-1),5256,14.0
Small (32-1),5268,12.0
Small (32-1),5288,20.0
Small (32-1),5298,10.0
Small (32-1),5322,24.0
Small (32-1),5347,25.0
Small (32-1),5363,16.0
Small (32-1),5378,15.0
Small (32-1),5390,12.0
Small (32-1),5408,18.0
Small (32-1),5423,15.0
Small (32-1),5433,10.0
Small (32-1),5456,23.0
Small (32-1),5482,26.0
Small (32-1),5503,21.0
Small (32-1),5521,18.0
Small (32-1),5536,15.0
Small (32-1),5574,38.0
Small (32-1),5604,30.0
Small (32-1),5622,18.0
Small (32-1),5645,23.0
Small (32-1),5659,14.0
Small (32-1),5680,21.0
Small (32-1),5690,10.0
Small (32-1),5703,13.0
Small (32-1),5713,10.0
Small (32-1),5724,11.0
Small (32-1),5756,32.0
Small (32-1),5775,19.0
Small (32-1),5793,18.0
Small (32-1),5811,18.0
Small (32-1),5825,14.0
Small (32-1),5847,22.0
Small (32-1),5858,11.0
Small (32-1),5900,42.0
Small (32-1),5922,22.0
Small (32-1),5943,21.0
Small (32-1),5987,44.0
Small (32-1),6020,33.0
Small (32-1),6036,16.0
Small (32-1),6048,12.0
Small (32-1),6079,31.0
Small (32-1),6097,18.0
Small (32-1),6110,13.0
Small (32-1),6120,10.0
Small (32-1),6135,15.0
Small (32-1),6156,21.0
Small (32-1),6169,13.0
Small (32-1),6191,22.0
Small (32-1),6203,12.0
Small (32-1),6236,33.0
Small (32-1),6262,26.0
Small (32-1),6278,16.0
Small (32-1),6328,50.0
Small (32-1),6338,10.0
Small (32-1),6383,45.0
Small (32-1),6421,38.0
Small (32-1),6433,12.0
Small (32-1),6460,27.0
Small (32-1),6473,13.0
Small (32-1),6487,14.0
Small (32-1),6500,13.0
Small (32-1),6510,10.0
Small (32-1),6528,18.0
Small (32-1),6551,23.0
Small (32-1),6595,44.0
Small (32-1),6610,15.0
Small (32-1),6626,16.0
Small (32-1),6636,10.0
Small (32-1),6652,16.0
Small (32-1),6677,25.0
Small (32-1),6698,21.0
Small (32-1),6718,20.0
Small (32-1),6751,33.0
Small (32-1),6802,51.0
Small (32-1),6843,41.0
Small (32-1),6857,14.0
Small (32-1),6883,26.0
Small (32-1),6901,18.0
Small (32-1),6922,21.0
Small (32-1),6941,19.0
Small (32-1),7008,67.0
Small (32-1),7034,26.0
Small (32-1),7046,12.0
Small (32-1),7065,19.0
