Total Steps,Episode Reward
13.0,13.0
28.0,15.0
48.0,20.0
74.0,26.0
101.0,27.0
129.0,28.0
149.0,20.0
160.0,11.0
183.0,23.0
199.0,16.0
238.0,39.0
271.0,33.0
303.0,32.0
318.0,15.0
330.0,12.0
344.0,14.0
367.0,23.0
427.0,60.0
486.0,59.0
563.0,77.0
582.0,19.0
595.0,13.0
621.0,26.0
646.0,25.0
670.0,24.0
690.0,20.0
711.0,21.0
723.0,12.0
742.0,19.0
794.0,52.0
833.0,39.0
853.0,20.0
862.0,9.0
875.0,13.0
894.0,19.0
910.0,16.0
965.0,55.0
985.0,20.0
1015.0,30.0
1036.0,21.0
1059.0,23.0
1077.0,18.0
1091.0,14.0
1114.0,23.0
1146.0,32.0
1165.0,19.0
1191.0,26.0
1208.0,17.0
1250.0,42.0
1263.0,13.0
1303.0,40.0
1334.0,31.0
1363.0,29.0
1381.0,18.0
1395.0,14.0
1410.0,15.0
1425.0,15.0
1451.0,26.0
1469.0,18.0
1480.0,11.0
1497.0,17.0
1516.0,19.0
1531.0,15.0
1545.0,14.0
1560.0,15.0
1572.0,12.0
1603.0,31.0
1623.0,20.0
1648.0,25.0
1664.0,16.0
1675.0,11.0
1686.0,11.0
1699.0,13.0
1717.0,18.0
1729.0,12.0
1755.0,26.0
1770.0,15.0
1789.0,19.0
1821.0,32.0
1838.0,17.0
1878.0,40.0
1897.0,19.0
1910.0,13.0
1951.0,41.0
2003.0,52.0
2061.0,58.0
2075.0,14.0
2134.0,59.0
2160.0,26.0
2177.0,17.0
2189.0,12.0
2203.0,14.0
2217.0,14.0
2236.0,19.0
2270.0,34.0
2299.0,29.0
2321.0,22.0
2340.0,19.0
2350.0,10.0
2361.0,11.0
2373.0,12.0
2384.0,11.0
2398.0,14.0
2411.0,13.0
2426.0,15.0
2451.0,25.0
2490.0,39.0
2510.0,20.0
2533.0,23.0
2568.0,35.0
2606.0,38.0
2617.0,11.0
2662.0,45.0
2672.0,10.0
2688.0,16.0
2714.0,26.0
2731.0,17.0
2773.0,42.0
2787.0,14.0
2802.0,15.0
2822.0,20.0
2835.0,13.0
2845.0,10.0
2866.0,21.0
2912.0,46.0
2927.0,15.0
2982.0,55.0
3000.0,18.0
3013.0,13.0
3026.0,13.0
3037.0,11.0
3059.0,22.0
3071.0,12.0
3086.0,15.0
3115.0,29.0
3134.0,19.0
3171.0,37.0
3186.0,15.0
3204.0,18.0
3270.0,66.0
3300.0,30.0
3323.0,23.0
3335.0,12.0
3397.0,62.0
3420.0,23.0
3434.0,14.0
3486.0,52.0
3524.0,38.0
3548.0,24.0
3563.0,15.0
3605.0,42.0
3636.0,31.0
3655.0,19.0
3699.0,44.0
3719.0,20.0
3742.0,23.0
3764.0,22.0
3792.0,28.0
3863.0,71.0
3891.0,28.0
3916.0,25.0
3930.0,14.0
3965.0,35.0
3978.0,13.0
4039.0,61.0
4084.0,45.0
4100.0,16.0
4133.0,33.0
4173.0,40.0
4202.0,29.0
4217.0,15.0
4261.0,44.0
4309.0,48.0
4337.0,28.0
4371.0,34.0
4419.0,48.0
4439.0,20.0
4503.0,64.0
4515.0,12.0
4538.0,23.0
4556.0,18.0
4570.0,14.0
4613.0,43.0
4638.0,25.0
4648.0,10.0
4675.0,27.0
4687.0,12.0
4701.0,14.0
4718.0,17.0
4750.0,32.0
4771.0,21.0
4787.0,16.0
4798.0,11.0
4816.0,18.0
4832.0,16.0
4858.0,26.0
4878.0,20.0
4894.0,16.0
4911.0,17.0
4923.0,12.0
4953.0,30.0
4969.0,16.0
5021.0,52.0
5102.0,81.0
5117.0,15.0
5165.0,48.0
5211.0,46.0
5227.0,16.0
5253.0,26.0
5264.0,11.0
5300.0,36.0
5325.0,25.0
5342.0,17.0
5395.0,53.0
5440.0,45.0
5462.0,22.0
5474.0,12.0
5495.0,21.0
5521.0,26.0
5537.0,16.0
5590.0,53.0
5628.0,38.0
5654.0,26.0
5677.0,23.0
5720.0,43.0
5742.0,22.0
5756.0,14.0
5771.0,15.0
5795.0,24.0
5847.0,52.0
5913.0,66.0
5967.0,54.0
5987.0,20.0
6026.0,39.0
6105.0,79.0
6127.0,22.0
6143.0,16.0
6201.0,58.0
6229.0,28.0
6282.0,53.0
6309.0,27.0
6370.0,61.0
6403.0,33.0
6430.0,27.0
6559.0,129.0
6573.0,14.0
6629.0,56.0
6655.0,26.0
6676.0,21.0
6699.0,23.0
6716.0,17.0
6736.0,20.0
6752.0,16.0
6776.0,24.0
6808.0,32.0
6878.0,70.0
6919.0,41.0
7030.0,111.0
7068.0,38.0
7082.0,14.0
7103.0,21.0
7111.0,8.0
7130.0,19.0
7152.0,22.0
7200.0,48.0
7212.0,12.0
7247.0,35.0
7272.0,25.0
7350.0,78.0
7369.0,19.0
7449.0,80.0
7469.0,20.0
7501.0,32.0
7580.0,79.0
7651.0,71.0
7738.0,87.0
7749.0,11.0
7787.0,38.0
7806.0,19.0
7840.0,34.0
7874.0,34.0
7920.0,46.0
7953.0,33.0
7981.0,28.0
8030.0,49.0
8047.0,17.0
8096.0,49.0
8147.0,51.0
8184.0,37.0
8224.0,40.0
8251.0,27.0
8268.0,17.0
8293.0,25.0
8339.0,46.0
8369.0,30.0
8439.0,70.0
8466.0,27.0
8486.0,20.0
8518.0,32.0
8550.0,32.0
8570.0,20.0
8590.0,20.0
8616.0,26.0
8638.0,22.0
8667.0,29.0
8686.0,19.0
8741.0,55.0
8768.0,27.0
8821.0,53.0
8885.0,64.0
8901.0,16.0
8986.0,85.0
9022.0,36.0
9042.0,20.0
9091.0,49.0
9126.0,35.0
9169.0,43.0
9204.0,35.0
9239.0,35.0
9262.0,23.0
9283.0,21.0
9303.0,20.0
9427.0,124.0
9457.0,30.0
9499.0,42.0
9518.0,19.0
9538.0,20.0
9554.0,16.0
9582.0,28.0
9598.0,16.0
9655.0,57.0
9745.0,90.0
9769.0,24.0
9795.0,26.0
9859.0,64.0
9897.0,38.0
9911.0,14.0
10064.0,153.0
10118.0,54.0
10138.0,20.0
10157.0,19.0
10185.0,28.0
