Episode,Mean Total Reward,Std Dev,Smoothed Mean Return
1,22.0,11.260550608207398,22.0
2,23.6,6.560487786742691,22.8
3,17.2,4.166533331199932,20.933333333333334
4,22.0,10.972693379476162,21.2
5,21.4,7.059745037889116,21.240000000000002
6,29.2,10.007996802557443,22.566666666666666
7,20.0,11.045361017187261,22.2
8,21.0,9.186947262284681,22.05
9,24.6,7.310266752998827,22.333333333333332
10,35.6,11.074294559925702,23.66
11,22.0,14.710540438746634,23.50909090909091
12,31.4,21.9508541975022,24.166666666666668
13,14.8,3.4871191548325386,23.446153846153848
14,26.8,12.302845199383759,23.685714285714287
15,14.2,4.707440918375928,23.053333333333335
16,13.8,2.7129319932501073,22.475
17,28.2,10.4,22.811764705882354
18,29.2,13.51147660324363,23.166666666666668
19,18.0,2.756809750418044,22.894736842105264
20,16.6,3.3823069050575527,22.580000000000002
21,19.2,8.518215775618742,22.44
22,27.8,6.368673331236264,22.65
23,13.0,1.8973665961010275,22.44
24,32.2,30.78571097116323,22.95
25,14.4,2.870540018881465,22.6
26,15.2,3.1874754901018454,21.9
27,19.4,9.2,21.87
28,16.4,5.817215828899594,21.64
29,20.2,11.822013364905319,21.419999999999998
30,24.4,10.836973747315254,20.86
31,24.8,11.373653766490346,21.0
32,27.6,22.419634252146043,20.81
33,19.2,2.315167380558045,21.029999999999998
34,19.0,6.06630035524124,20.639999999999997
35,26.0,11.865917579353061,21.229999999999997
36,35.6,16.316862443496913,22.32
37,20.6,11.429785649783637,21.94
38,21.0,9.121403400793104,21.53
39,14.2,3.54400902933387,21.34
40,22.2,9.260669522232181,21.619999999999997
41,19.8,4.874423042781577,21.65
42,23.2,5.635601121442148,21.419999999999998
43,25.0,20.591260281974,22.02
44,30.0,6.841052550594828,21.91
45,17.8,5.114684741017769,22.080000000000002
46,18.2,4.791659420284375,22.23
47,16.8,4.534313619501853,22.1
48,17.4,4.223742416388575,22.15
49,27.6,15.589740215924062,22.520000000000003
50,25.2,12.702755606560334,22.56
51,19.8,13.644046320648432,22.31
52,17.6,5.817215828899595,21.81
53,16.2,3.1874754901018454,21.660000000000004
54,12.4,2.4166091947189146,21.330000000000002
55,23.2,12.089665007765932,21.19
56,17.4,5.607138307550475,20.28
57,21.8,8.37615663654877,20.339999999999996
58,27.8,10.925200226998129,20.68
59,22.0,6.164414002968976,21.07
60,17.0,4.774934554525329,20.81
61,15.4,3.6110940170535573,20.59
62,32.2,12.749901960407382,21.04
63,19.4,2.727636339397171,20.759999999999998
64,27.6,14.136477637657833,20.64
65,20.4,9.436100889668358,20.77
66,15.4,5.238320341483519,20.630000000000003
67,18.8,7.573638491504595,20.73
68,25.0,11.523888232710346,21.110000000000003
69,16.8,2.481934729198171,20.57
70,24.4,7.552483035399683,20.53
71,37.0,22.91724241700995,21.39
72,27.8,13.481839637082176,21.900000000000002
73,28.2,17.16275036233995,22.5
74,20.0,8.221921916437786,22.880000000000003
75,18.6,10.480458005259122,22.65
76,19.2,6.968500556073739,22.740000000000002
77,23.2,9.620810776644555,22.810000000000002
78,20.6,4.2708313008125245,22.45
79,19.8,8.634813257969162,22.34
80,19.2,8.726969691708572,22.45
81,27.2,12.139192724394814,23.04
82,14.6,1.9595917942265424,22.16
83,18.0,3.03315017762062,22.09
84,26.2,19.29144888285999,22.02
85,16.8,1.9390719429665315,21.84
86,25.8,7.467261881037787,22.36
87,21.6,5.748043145279966,22.5
88,15.0,3.847076812334269,22.0
89,18.8,6.8527366796047255,22.1
90,18.8,8.908422980528035,21.82
91,25.0,7.536577472566709,21.22
92,20.2,8.930845424706442,20.839999999999996
93,21.4,6.651315659326356,20.5
94,19.2,3.655133376499413,20.46
95,23.6,9.221713506718803,20.71
96,20.8,8.930845424706442,20.79
97,19.4,8.5463442476886,20.6
98,28.6,14.677874505527017,21.0
99,47.6,29.81677380267691,22.39
100,22.2,4.833218389437829,22.54
101,19.4,4.176122603564219,22.15
102,17.4,6.118823416311343,22.29
103,25.2,14.998666607402141,22.65
104,16.8,11.373653766490344,22.18
105,21.2,8.749857141690944,22.4
106,20.8,8.541662601625049,22.15
107,19.0,7.26636084983398,22.02
108,20.8,7.858753081755401,22.31
109,24.0,10.198039027185569,22.57
110,21.0,5.656854249492381,22.68
111,19.8,6.04648658313239,22.42
112,16.4,5.6780278266313555,22.23
113,24.0,5.796550698475776,22.36
114,21.6,5.3516352641038605,22.48
115,22.0,10.507140429250958,22.4
116,24.8,15.011995203836166,22.6
117,18.0,4.560701700396552,22.529999999999998
118,29.2,12.023310692151309,22.560000000000002
119,26.0,17.052858997833766,21.48
120,25.6,14.319217855735,21.65
121,15.8,4.308131845707604,21.47
122,20.8,5.912698199637792,21.64
123,23.6,7.031358332498779,21.56
124,18.0,7.483314773547883,21.619999999999997
125,27.8,20.350921355064003,21.95
126,19.2,6.3999999999999995,21.869999999999997
127,20.0,10.178408519999577,21.919999999999998
128,18.6,9.00222194794152,21.81
129,22.2,10.49571341072154,21.72
130,24.8,13.105723940324703,21.91
131,22.4,13.92264342716569,22.04
132,20.8,6.881860213634101,22.259999999999998
133,20.0,1.7888543819998317,22.06
134,19.4,3.6660605559646724,21.95
135,17.8,4.445222154178573,21.74
136,18.8,5.706137047074843,21.44
137,13.0,1.8973665961010275,21.19
138,17.6,8.73155198117723,20.61
139,26.6,13.646977687385585,20.639999999999997
140,36.2,37.732744400586604,21.17
141,24.0,8.508818954473059,21.580000000000002
142,22.4,6.118823416311342,21.66
143,19.8,6.64529909033446,21.470000000000002
144,22.6,7.445804187594514,21.700000000000003
145,24.2,9.947864092356712,21.520000000000003
146,20.4,10.744300814850634,21.580000000000002
147,20.0,8.0,21.580000000000002
148,19.8,10.146920715172657,21.64
149,19.0,4.857983120596447,21.48
150,17.0,3.03315017762062,21.09
151,20.0,12.181953866272849,20.970000000000002
152,22.4,4.8,21.05
153,13.8,2.481934729198171,20.740000000000002
154,16.0,4.8166378315169185,20.57
155,28.6,14.430523206037957,21.110000000000003
156,26.8,16.28987415543779,21.51
157,23.4,5.083306010855534,22.03
158,19.0,5.019960159204453,22.1
159,22.6,9.687104830649869,21.9
160,22.8,8.49470423263812,21.229999999999997
161,16.4,5.122499389946279,20.85
162,34.0,8.78635305459552,21.43
163,32.8,17.497428382479523,22.080000000000002
164,20.8,8.231646250902672,21.99
165,24.6,10.32666451474047,22.009999999999998
166,27.6,14.77294825009551,22.37
167,27.6,10.650821564555478,22.75
168,21.0,8.438009243891594,22.81
169,24.0,13.870832707519762,23.06
170,22.2,7.4404300950953095,23.32
171,31.0,9.444575162494075,23.869999999999997
172,18.2,3.54400902933387,23.660000000000004
173,16.2,5.775811631277461,23.78
174,24.0,10.75174404457249,24.18
175,20.8,4.874423042781577,23.79
176,16.8,5.706137047074843,23.29
177,25.6,14.079772725438433,23.4
178,22.8,7.934733769950949,23.59
179,26.6,10.650821564555478,23.79
180,17.4,5.122499389946279,23.520000000000003
181,19.2,10.609429767899876,23.66
182,21.0,9.939818911831342,23.009999999999998
183,22.4,10.9288608738514,22.49
184,18.6,6.118823416311342,22.380000000000003
185,18.6,6.529931086925803,22.080000000000002
186,34.0,29.953296980466106,22.4
187,19.4,5.4258639865002145,21.990000000000002
188,20.2,5.635601121442148,21.95
189,23.4,5.4258639865002145,21.92
190,17.8,7.413501197140256,21.7
191,25.8,20.87486526902629,21.44
192,22.0,14.268847185389575,21.63
193,15.2,6.615134163416491,21.58
194,23.6,3.555277766926235,21.56
195,22.0,10.972693379476162,21.619999999999997
196,23.6,11.706408501329518,21.96
197,21.6,7.914543574963751,21.759999999999998
198,17.4,10.011992808627062,21.490000000000002
199,19.2,4.915282290977803,21.12
200,28.8,12.796874618437112,21.69
201,30.8,15.561490931141527,22.27
202,36.0,22.369622258768697,23.02
203,19.0,4.560701700396552,22.85
204,16.6,4.498888751680797,22.75
205,16.0,3.03315017762062,22.619999999999997
206,20.4,5.2,21.939999999999998
207,23.6,6.7111846942250075,22.15
208,17.6,1.7435595774162693,22.020000000000003
209,29.4,27.207351947589462,22.32
210,15.8,4.48998886412873,22.220000000000002
211,22.0,10.526157893552615,22.03
212,16.0,5.176871642217914,21.73
213,19.4,7.578918128598566,21.94
214,21.0,10.639548862616309,21.81
215,19.8,12.12270596855339,21.7
216,17.0,5.621387729022079,21.369999999999997
217,13.8,3.7094473981982814,20.98
218,23.6,13.154466921924278,21.29
219,19.8,13.818827736099758,21.32
220,26.0,13.66747965061591,21.18
221,18.6,5.4258639865002145,20.57
222,27.0,8.12403840463596,20.119999999999997
223,22.4,13.676256797823008,20.29
224,19.6,6.406246951218788,20.44
225,24.8,11.565465835840769,20.880000000000003
226,24.2,9.19565114605812,21.07
227,20.6,11.271202242884296,20.92
228,23.0,12.759310326189265,21.19
229,27.2,20.222759455623258,21.080000000000002
230,20.2,4.1182520563948,21.3
231,20.6,6.770524351924303,21.23
232,31.0,17.052858997833766,21.98
233,21.0,8.024961059095553,22.060000000000002
234,18.8,6.523802572120036,21.95
235,28.2,13.991425945914163,22.37
236,36.2,26.528475267153972,23.330000000000002
237,17.6,5.4626001134990645,23.52
238,19.0,3.63318042491699,23.29
239,23.4,10.836973747315254,23.470000000000002
240,18.8,4.534313619501853,23.110000000000003
241,27.6,22.08710030764564,23.56
242,25.8,17.15109325961468,23.5
243,26.2,12.544321424453376,23.69
244,30.8,30.16222803441417,24.25
245,22.4,8.380930735902785,24.130000000000003
246,18.0,4.560701700396552,23.82
247,21.6,4.223742416388575,23.869999999999997
248,16.8,9.558242516278817,23.56
249,31.8,23.540603220818284,23.79
250,13.8,6.144916598294887,23.470000000000002
251,26.2,17.61135997020105,23.75
252,18.4,5.817215828899595,23.119999999999997
253,15.0,5.019960159204453,22.82
254,18.8,6.305553108173779,22.82
255,26.8,10.166612021711067,22.75
256,29.0,7.4565407529228995,22.39
257,24.6,10.818502669038818,22.740000000000002
258,18.2,7.332121111929345,22.7
259,18.6,7.2277243998370615,22.46
260,21.8,7.756287771866127,22.61
261,25.6,14.291256067959877,22.51
262,22.8,5.114684741017769,22.36
263,17.4,5.161395160225576,21.92
264,19.4,7.631513611335565,21.35
265,26.0,12.016655108639842,21.53
266,34.8,10.943491216243562,22.37
267,22.6,16.823792675850473,22.42
268,24.4,10.85541339608953,22.8
269,22.0,9.736529155710468,22.31
270,17.2,7.194442299441979,22.479999999999997
271,26.6,11.499565209172042,22.5
272,24.8,13.105723940324701,22.82
273,15.2,3.9698866482558417,22.830000000000002
274,19.4,6.3118935352238,22.86
275,17.2,7.6000000000000005,22.38
276,27.8,15.276125163142648,22.32
277,19.2,5.946427498927402,22.05
278,25.0,12.0,22.389999999999997
279,15.0,2.1908902300206643,22.21
280,13.4,0.48989794855663565,21.79
281,22.0,14.546477236774544,21.61
282,20.6,9.499473669630333,21.5
283,19.0,8.221921916437786,21.58
284,26.2,16.28987415543779,21.92
285,23.4,5.388877434122992,21.79
286,25.6,10.209799214480176,21.330000000000002
287,22.6,10.031948963187562,21.33
288,25.0,11.454256850621082,21.36
289,33.6,13.720058308913996,21.94
290,19.8,8.328265125462805,22.07
291,18.0,6.356099432828281,21.64
292,16.4,3.6110940170535573,21.22
293,20.0,4.427188724235731,21.46
294,19.2,5.344155686354955,21.45
295,18.2,9.57914401186244,21.5
296,15.0,3.5777087639996634,20.86
297,19.8,6.493073232299171,20.89
298,17.6,5.043808085167397,20.520000000000003
299,22.2,8.975522268926749,20.880000000000003
300,18.8,2.9257477676655586,21.15
301,15.6,4.31740662898458,20.83
302,20.0,4.33589667773576,20.8
303,30.4,18.423897524682445,21.37
304,21.8,11.478675881825394,21.15
305,17.8,4.261455150532504,20.869999999999997
306,23.0,9.939818911831342,20.74
307,19.0,7.8230428862431785,20.56
308,18.2,7.833262411026456,20.220000000000002
309,14.2,2.6381811916545836,19.25
310,17.4,10.384603988597735,19.13
311,19.6,9.687104830649869,19.21
312,28.8,12.464349160706307,19.830000000000002
313,27.0,8.099382692526634,20.18
314,21.8,13.526270735128733,20.31
315,30.8,17.405746177627663,20.94
316,23.8,5.1536394906900505,21.380000000000003
317,15.8,3.1874754901018454,21.18
318,21.6,4.8,21.38
319,22.0,8.717797887081348,21.369999999999997
320,17.2,3.8678159211627436,21.29
321,14.0,4.049691346263317,21.21
322,14.6,4.363484845854286,20.94
323,15.4,5.4258639865002145,20.19
324,16.6,5.0039984012787215,19.93
325,18.4,7.002856560004639,19.96
326,17.8,5.035871324805669,19.7
327,19.2,7.6,19.71
328,30.6,7.552483035399682,20.33
329,25.0,14.4083309234623,20.869999999999997
330,24.2,8.588364221433554,21.21
331,21.8,16.678129391511508,21.32
332,19.0,5.440588203494177,20.83
333,31.8,20.5367962447895,21.07
334,25.2,10.609429767899876,21.240000000000002
335,27.8,13.43726162579266,21.09
336,17.0,3.1622776601683795,20.75
337,21.2,9.042123644365851,21.02
338,21.2,5.230678732248808,21.0
339,16.8,4.534313619501853,20.740000000000002
340,25.4,11.568923891183656,21.15
341,21.2,7.025667228100119,21.509999999999998
342,20.8,14.455448799674123,21.82
343,21.0,6.603029607687671,22.1
344,25.4,10.650821564555478,22.54
345,22.8,5.979966555090422,22.759999999999998
346,18.8,8.009993757800315,22.810000000000002
347,26.2,9.744742172063868,23.16
348,24.8,10.476640682967036,22.87
349,26.4,18.402173784637508,22.94
350,19.6,6.529931086925803,22.71
351,19.6,2.939387691339814,22.6
352,22.8,20.730653631759903,22.79
353,25.6,10.744300814850634,22.48
354,17.6,6.343500610861483,22.1
355,19.8,11.285388783732708,21.7
356,15.8,6.4,21.64
357,25.2,9.325234581499814,21.84
358,20.0,10.825894882179487,21.78
359,19.4,1.8547236990991407,21.910000000000004
360,25.6,7.116178749862878,21.919999999999998
361,21.6,4.673328578219168,21.94
362,19.6,5.953150426454887,21.88
363,17.6,5.314132102234569,21.71
364,19.2,4.955804677345547,21.4
365,15.6,2.939387691339814,21.04
366,19.0,8.67179335547152,21.05
367,23.6,4.498888751680797,20.919999999999998
368,19.6,7.83836717690617,20.66
369,18.0,6.2289646009589745,20.240000000000002
370,16.2,9.682974749528164,20.07
371,23.6,10.61319932913728,20.270000000000003
372,24.2,13.242356285797479,20.34
373,20.0,8.148619514985345,20.06
374,23.0,12.116104984688768,20.330000000000002
375,21.2,8.352245207128439,20.4
376,13.0,2.8284271247461903,20.259999999999998
377,16.2,4.261455150532504,19.81
378,26.0,12.280065146407,20.11
379,23.4,7.364781055808788,20.31
380,24.2,11.77115117564973,20.240000000000002
381,30.4,20.499756096110023,20.68
382,23.4,8.867919710958146,20.87
383,17.2,5.844655678480984,20.85
384,21.0,8.024961059095553,20.94
385,24.2,15.197368193210297,21.369999999999997
386,21.2,12.351518125315609,21.479999999999997
387,20.0,9.715966241192895,21.3
388,36.4,23.113632341109867,22.14
389,24.0,13.251415018781957,22.44
390,44.8,22.480213522117623,23.869999999999997
391,29.0,26.705804612480787,24.139999999999997
392,25.0,9.38083151964686,24.18
393,23.2,12.155657119218196,24.34
394,26.6,10.725670142233538,24.52
395,25.6,10.365326815879952,24.740000000000002
396,22.0,8.94427190999916,25.19
397,18.4,4.63033476111609,25.3
398,24.2,11.285388783732708,25.21
399,23.8,15.892136420255145,25.229999999999997
400,12.0,1.6733200530681511,24.619999999999997
401,20.6,3.4409301068170506,24.130000000000003
402,19.2,4.48998886412873,23.919999999999998
403,20.8,8.840814442120138,24.1
404,15.4,3.4985711369071804,23.82
405,14.6,2.33238075793812,23.34
406,28.4,16.81190054693401,23.7
407,17.6,7.657675887630659,23.580000000000002
408,20.0,8.221921916437786,22.759999999999998
409,28.6,9.54148835350125,22.99
410,17.2,4.915282290977803,21.610000000000003
411,26.6,6.468384651518491,21.490000000000002
412,28.8,16.666133324799727,21.68
413,29.2,10.419213022104886,21.979999999999997
414,16.4,8.309031231136395,21.470000000000002
415,39.4,36.44502709561347,22.16
416,21.2,7.025667228100119,22.119999999999997
417,18.8,5.455272678794342,22.14
418,13.6,3.7202150475476548,21.610000000000003
419,20.2,14.82430436816514,21.43
420,19.8,8.034923770640267,21.82
421,23.0,11.781341180018513,21.94
422,21.0,7.874007874011811,22.03
423,17.6,5.122499389946279,21.869999999999997
424,23.6,7.2277243998370615,22.28
425,20.4,11.516944039110376,22.57
426,24.2,5.418486873657627,22.36
427,16.4,2.0591260281974,22.3
428,15.4,2.0591260281974,22.07
429,16.4,4.586937976471886,21.46
430,23.6,6.8585712797928995,21.779999999999998
431,37.4,23.139576487049194,22.32
432,16.6,2.8000000000000003,21.71
433,28.8,13.43726162579266,21.69
434,21.4,7.337574531137657,21.939999999999998
435,21.0,7.042726744663604,21.02
436,23.8,6.241794613730893,21.15
437,21.6,9.393614852653903,21.29
438,25.2,12.006664815842909,21.869999999999997
439,15.8,3.54400902933387,21.65
440,21.0,7.974960814950754,21.71
441,20.6,10.910545357588685,21.589999999999996
442,33.0,13.145341380123988,22.189999999999998
443,22.4,11.324310133513652,22.43
444,31.6,11.038115781237304,22.83
445,20.2,8.376156636548771,22.82
446,21.6,6.248199740725323,22.69
447,21.6,7.172168430816444,22.95
448,28.8,19.873600579663467,23.62
449,21.0,9.011104260855047,23.85
450,17.6,10.480458005259122,23.55
451,25.8,12.936769303036982,22.970000000000002
452,21.2,6.881860213634101,23.2
453,27.2,24.95916665275505,23.119999999999997
454,25.0,10.620734437881403,23.3
455,25.0,17.527121840165314,23.5
456,23.8,10.979981785048645,23.5
457,21.4,6.529931086925803,23.490000000000002
458,19.4,5.6780278266313555,23.2
459,24.2,13.731715115017497,23.619999999999997
460,18.6,3.8781438859330635,23.5
461,34.8,17.497428382479523,24.21
462,16.6,5.425863986500215,23.39
463,32.4,12.93986089569745,23.889999999999997
464,20.6,8.935323161475472,23.34
465,24.0,7.771743691090179,23.529999999999998
466,16.4,5.851495535331117,23.27
467,24.0,16.804761230080004,23.389999999999997
468,25.2,9.325234581499814,23.21
469,15.0,4.857983120596447,22.91
470,20.6,8.06473806146238,23.06
471,18.8,8.541662601625049,22.71
472,20.6,11.48216007552586,22.68
473,31.8,12.432216214336043,22.910000000000004
474,16.2,5.912698199637792,22.470000000000002
475,27.4,20.441134997841974,22.59
476,16.4,3.826225293941798,22.22
477,27.2,7.0823724838503095,22.509999999999998
478,24.2,2.7129319932501073,22.75
479,18.8,5.775811631277461,22.48
480,21.8,12.983065893693986,22.639999999999997
481,18.6,3.1368774282716245,21.830000000000002
482,17.0,7.694153624668538,21.85
483,22.4,11.637869220780924,21.35
484,38.6,18.315021157508937,22.25
485,29.0,7.402702209328699,22.5
486,18.8,10.264501936285072,22.62
487,26.0,12.759310326189265,22.72
488,22.0,7.694153624668538,22.56
489,19.6,5.71314274283428,22.79
490,14.6,2.5768197453450252,22.490000000000002
491,27.4,10.307278981380101,22.919999999999998
492,18.2,5.844655678480984,22.8
493,18.0,3.847076812334269,22.11
494,21.0,11.610340218959994,22.35
