Configuration,Episode,Mean Total Reward,Std Dev
Naive DQN (No Target Network),1,22.5,11.5
Naive DQN (No Target Network),2,14.0,0.0
Naive DQN (No Target Network),3,17.0,1.0
Naive DQN (No Target Network),4,15.5,3.5
Naive DQN (No Target Network),5,25.5,8.5
Naive DQN (No Target Network),6,31.0,12.0
Naive DQN (No Target Network),7,13.5,2.5
Naive DQN (No Target Network),8,27.0,3.0
Naive DQN (No Target Network),9,18.5,0.5
Naive DQN (No Target Network),10,22.5,2.5
Naive DQN (No Target Network),11,22.5,1.5
Naive DQN (No Target Network),12,9.5,0.5
Naive DQN (No Target Network),13,44.0,13.0
Naive DQN (No Target Network),14,19.0,0.0
Naive DQN (No Target Network),15,18.5,4.5
Naive DQN (No Target Network),16,23.0,6.0
Naive DQN (No Target Network),17,31.0,16.0
Naive DQN (No Target Network),18,21.0,4.0
Naive DQN (No Target Network),19,24.5,10.5
Naive DQN (No Target Network),20,24.5,0.5
Naive DQN (No Target Network),21,19.5,0.5
Naive DQN (No Target Network),22,35.5,19.5
Naive DQN (No Target Network),23,25.5,0.5
Naive DQN (No Target Network),24,14.5,1.5
Naive DQN (No Target Network),25,24.0,5.0
Naive DQN (No Target Network),26,14.5,1.5
Naive DQN (No Target Network),27,14.5,3.5
Naive DQN (No Target Network),28,14.5,2.5
Naive DQN (No Target Network),29,19.0,2.0
Naive DQN (No Target Network),30,22.0,11.0
Naive DQN (No Target Network),31,42.5,18.5
Naive DQN (No Target Network),32,36.5,8.5
Naive DQN (No Target Network),33,26.5,11.5
Naive DQN (No Target Network),34,15.5,5.5
Naive DQN (No Target Network),35,28.0,4.0
Naive DQN (No Target Network),36,16.0,4.0
Naive DQN (No Target Network),37,24.0,4.0
Naive DQN (No Target Network),38,14.0,4.0
Naive DQN (No Target Network),39,22.0,2.0
Naive DQN (No Target Network),40,13.5,4.5
Naive DQN (No Target Network),41,24.0,7.0
Naive DQN (No Target Network),42,25.5,7.5
Naive DQN (No Target Network),43,17.5,6.5
Naive DQN (No Target Network),44,28.5,12.5
Naive DQN (No Target Network),45,33.0,5.0
Naive DQN (No Target Network),46,23.0,5.0
Naive DQN (No Target Network),47,14.0,0.0
Naive DQN (No Target Network),48,37.5,23.5
Naive DQN (No Target Network),49,33.5,5.5
Naive DQN (No Target Network),50,27.5,13.5
Naive DQN (No Target Network),51,31.0,6.0
Naive DQN (No Target Network),52,22.5,6.5
Naive DQN (No Target Network),53,11.5,1.5
Naive DQN (No Target Network),54,23.0,1.0
Naive DQN (No Target Network),55,39.5,8.5
Naive DQN (No Target Network),56,25.0,7.0
Naive DQN (No Target Network),57,26.0,2.0
Naive DQN (No Target Network),58,21.5,6.5
Naive DQN (No Target Network),59,13.0,1.0
Naive DQN (No Target Network),60,23.5,0.5
Naive DQN (No Target Network),61,12.0,1.0
Naive DQN (No Target Network),62,14.0,1.0
Naive DQN (No Target Network),63,14.0,4.0
Naive DQN (No Target Network),64,18.0,1.0
Naive DQN (No Target Network),65,21.5,3.5
Naive DQN (No Target Network),66,13.5,2.5
Naive DQN (No Target Network),67,11.5,1.5
Naive DQN (No Target Network),68,21.0,4.0
Naive DQN (No Target Network),69,21.5,1.5
Naive DQN (No Target Network),70,14.5,3.5
Naive DQN (No Target Network),71,33.5,22.5
Naive DQN (No Target Network),72,29.5,14.5
Naive DQN (No Target Network),73,21.0,2.0
Naive DQN (No Target Network),74,14.5,0.5
Naive DQN (No Target Network),75,32.0,13.0
Naive DQN (No Target Network),76,21.5,0.5
Naive DQN (No Target Network),77,13.0,2.0
Naive DQN (No Target Network),78,19.0,7.0
Naive DQN (No Target Network),79,24.0,5.0
Naive DQN (No Target Network),80,20.0,9.0
Naive DQN (No Target Network),81,28.5,11.5
Naive DQN (No Target Network),82,39.5,20.5
Naive DQN (No Target Network),83,16.5,4.5
Naive DQN (No Target Network),84,16.5,6.5
Naive DQN (No Target Network),85,16.0,6.0
Naive DQN (No Target Network),86,17.0,3.0
Naive DQN (No Target Network),87,27.0,7.0
Naive DQN (No Target Network),88,27.0,4.0
Naive DQN (No Target Network),89,23.0,8.0
Naive DQN (No Target Network),90,20.0,2.0
Naive DQN (No Target Network),91,28.5,8.5
Naive DQN (No Target Network),92,13.0,0.0
Naive DQN (No Target Network),93,18.0,3.0
Naive DQN (No Target Network),94,17.5,4.5
Naive DQN (No Target Network),95,29.0,3.0
Naive DQN (No Target Network),96,14.0,0.0
Naive DQN (No Target Network),97,20.5,3.5
Naive DQN (No Target Network),98,19.0,3.0
Naive DQN (No Target Network),99,13.5,3.5
Naive DQN (No Target Network),100,12.5,2.5
Naive DQN (No Target Network),101,26.5,13.5
Naive DQN (No Target Network),102,18.0,5.0
Naive DQN (No Target Network),103,13.5,0.5
Naive DQN (No Target Network),104,25.0,7.0
Naive DQN (No Target Network),105,30.0,3.0
Naive DQN (No Target Network),106,39.0,1.0
Naive DQN (No Target Network),107,11.5,0.5
Naive DQN (No Target Network),108,35.5,22.5
Naive DQN (No Target Network),109,15.5,5.5
Naive DQN (No Target Network),110,40.0,3.0
Naive DQN (No Target Network),111,23.5,1.5
Naive DQN (No Target Network),112,17.5,3.5
Naive DQN (No Target Network),113,15.0,4.0
Naive DQN (No Target Network),114,20.5,8.5
Naive DQN (No Target Network),115,28.0,12.0
Naive DQN (No Target Network),116,17.0,6.0
Naive DQN (No Target Network),117,13.0,5.0
Naive DQN (No Target Network),118,13.5,2.5
Naive DQN (No Target Network),119,29.5,15.5
Naive DQN (No Target Network),120,19.0,8.0
Naive DQN (No Target Network),121,20.5,7.5
Naive DQN (No Target Network),122,23.5,5.5
Naive DQN (No Target Network),123,22.5,11.5
Naive DQN (No Target Network),124,11.5,1.5
Naive DQN (No Target Network),125,22.0,3.0
Naive DQN (No Target Network),126,16.5,5.5
Naive DQN (No Target Network),127,24.5,12.5
Naive DQN (No Target Network),128,19.5,0.5
Naive DQN (No Target Network),129,22.0,1.0
Naive DQN (No Target Network),130,20.0,7.0
Naive DQN (No Target Network),131,12.0,3.0
Naive DQN (No Target Network),132,14.5,4.5
Naive DQN (No Target Network),133,14.5,4.5
Naive DQN (No Target Network),134,16.5,5.5
Naive DQN (No Target Network),135,21.5,7.5
Naive DQN (No Target Network),136,20.5,1.5
Naive DQN (No Target Network),137,14.0,0.0
Naive DQN (No Target Network),138,25.0,13.0
Naive DQN (No Target Network),139,19.5,0.5
Naive DQN (No Target Network),140,19.5,2.5
Naive DQN (No Target Network),141,30.5,4.5
Naive DQN (No Target Network),142,24.5,1.5
Naive DQN (No Target Network),143,20.5,6.5
Naive DQN (No Target Network),144,24.0,10.0
Naive DQN (No Target Network),145,41.0,9.0
Naive DQN (No Target Network),146,22.5,1.5
Naive DQN (No Target Network),147,12.0,3.0
Naive DQN (No Target Network),148,20.5,1.5
Naive DQN (No Target Network),149,17.0,4.0
Naive DQN (No Target Network),150,13.5,1.5
Naive DQN (No Target Network),151,22.0,1.0
Naive DQN (No Target Network),152,15.0,6.0
Naive DQN (No Target Network),153,21.0,8.0
Naive DQN (No Target Network),154,27.5,14.5
Naive DQN (No Target Network),155,11.0,2.0
Naive DQN (No Target Network),156,21.0,4.0
Naive DQN (No Target Network),157,18.0,2.0
Naive DQN (No Target Network),158,11.5,1.5
Naive DQN (No Target Network),159,21.5,6.5
Naive DQN (No Target Network),160,15.0,1.0
Naive DQN (No Target Network),161,18.0,3.0
Naive DQN (No Target Network),162,16.5,6.5
Naive DQN (No Target Network),163,23.0,11.0
Naive DQN (No Target Network),164,18.5,2.5
