Run ID,Total Steps,Episode Reward
1,11,11.0
1,23,12.0
1,38,15.0
1,53,15.0
1,72,19.0
1,83,11.0
1,124,41.0
1,144,20.0
1,170,26.0
1,192,22.0
1,201,9.0
1,221,20.0
1,239,18.0
1,267,28.0
1,287,20.0
1,298,11.0
1,330,32.0
1,342,12.0
1,379,37.0
1,403,24.0
1,442,39.0
1,461,19.0
1,489,28.0
1,534,45.0
1,554,20.0
1,574,20.0
1,612,38.0
1,637,25.0
1,651,14.0
1,665,14.0
1,683,18.0
1,705,22.0
1,719,14.0
1,747,28.0
1,766,19.0
1,776,10.0
1,802,26.0
1,826,24.0
1,846,20.0
1,890,44.0
1,920,30.0
1,933,13.0
1,950,17.0
1,968,18.0
1,980,12.0
1,1058,78.0
1,1093,35.0
1,1133,40.0
1,1176,43.0
1,1199,23.0
1,1222,23.0
1,1232,10.0
1,1258,26.0
1,1276,18.0
1,1290,14.0
1,1314,24.0
1,1333,19.0
1,1356,23.0
1,1378,22.0
1,1391,13.0
1,1422,31.0
1,1450,28.0
1,1488,38.0
1,1520,32.0
1,1528,8.0
1,1537,9.0
1,1556,19.0
1,1603,47.0
1,1617,14.0
1,1634,17.0
1,1665,31.0
1,1697,32.0
1,1712,15.0
1,1728,16.0
1,1743,15.0
1,1760,17.0
1,1806,46.0
1,1835,29.0
1,1849,14.0
1,1870,21.0
1,1886,16.0
1,1955,69.0
1,1971,16.0
1,1994,23.0
1,2046,52.0
1,2063,17.0
1,2142,79.0
1,2153,11.0
1,2171,18.0
1,2225,54.0
1,2233,8.0
1,2259,26.0
1,2280,21.0
1,2303,23.0
1,2343,40.0
1,2363,20.0
1,2403,40.0
1,2415,12.0
1,2438,23.0
1,2481,43.0
1,2504,23.0
1,2520,16.0
1,2540,20.0
1,2572,32.0
1,2582,10.0
1,2630,48.0
1,2656,26.0
1,2673,17.0
1,2708,35.0
1,2770,62.0
1,2780,10.0
1,2794,14.0
1,2814,20.0
1,2835,21.0
1,2849,14.0
1,2888,39.0
1,2951,63.0
1,2970,19.0
1,3013,43.0
1,3048,35.0
1,3064,16.0
1,3091,27.0
1,3108,17.0
1,3211,103.0
