Run ID,Total Steps,Episode Reward
1,23,23.0
1,71,48.0
1,93,22.0
1,132,39.0
1,143,11.0
1,186,43.0
1,208,22.0
1,220,12.0
1,246,26.0
1,270,24.0
1,279,9.0
1,304,25.0
1,335,31.0
1,353,18.0
1,370,17.0
1,422,52.0
1,438,16.0
1,449,11.0
1,469,20.0
1,485,16.0
1,508,23.0
1,523,15.0
1,553,30.0
1,570,17.0
1,586,16.0
1,616,30.0
1,634,18.0
1,643,9.0
1,664,21.0
1,681,17.0
1,705,24.0
1,717,12.0
1,734,17.0
1,744,10.0
1,769,25.0
1,785,16.0
1,809,24.0
1,830,21.0
1,849,19.0
1,866,17.0
1,875,9.0
1,892,17.0
1,908,16.0
1,922,14.0
1,957,35.0
1,971,14.0
1,985,14.0
1,995,10.0
1,1005,10.0
1,1016,11.0
1,1032,16.0
1,1051,19.0
1,1065,14.0
1,1075,10.0
1,1088,13.0
1,1100,12.0
1,1117,17.0
1,1135,18.0
1,1170,35.0
1,1250,80.0
1,1279,29.0
1,1294,15.0
1,1306,12.0
1,1324,18.0
1,1354,30.0
1,1374,20.0
1,1400,26.0
1,1412,12.0
1,1427,15.0
1,1462,35.0
1,1515,53.0
1,1529,14.0
1,1541,12.0
1,1557,16.0
1,1570,13.0
1,1591,21.0
1,1622,31.0
1,1635,13.0
1,1656,21.0
1,1674,18.0
1,1747,73.0
1,1759,12.0
1,1778,19.0
1,1808,30.0
1,1833,25.0
1,1881,48.0
1,1892,11.0
1,1912,20.0
1,1940,28.0
1,1958,18.0
1,1975,17.0
1,1988,13.0
1,2016,28.0
1,2032,16.0
1,2050,18.0
1,2064,14.0
1,2076,12.0
1,2087,11.0
1,2110,23.0
1,2128,18.0
1,2197,69.0
1,2211,14.0
1,2224,13.0
1,2249,25.0
1,2267,18.0
1,2282,15.0
1,2300,18.0
1,2325,25.0
1,2354,29.0
1,2390,36.0
1,2409,19.0
1,2434,25.0
1,2445,11.0
1,2468,23.0
1,2489,21.0
1,2522,33.0
1,2544,22.0
1,2561,17.0
1,2590,29.0
1,2607,17.0
1,2632,25.0
1,2662,30.0
1,2692,30.0
1,2712,20.0
1,2760,48.0
1,2772,12.0
1,2793,21.0
1,2808,15.0
1,2837,29.0
1,2869,32.0
1,2907,38.0
1,2982,75.0
1,3002,20.0
1,3018,16.0
1,3028,10.0
1,3070,42.0
1,3093,23.0
1,3112,19.0
1,3134,22.0
1,3164,30.0
1,3177,13.0
1,3204,27.0
1,3241,37.0
1,3265,24.0
1,3283,18.0
1,3337,54.0
1,3355,18.0
1,3381,26.0
1,3406,25.0
1,3423,17.0
1,3483,60.0
1,3495,12.0
1,3521,26.0
1,3544,23.0
1,3565,21.0
1,3577,12.0
1,3590,13.0
1,3600,10.0
1,3630,30.0
1,3660,30.0
1,3698,38.0
1,3737,39.0
1,3772,35.0
1,3797,25.0
1,3813,16.0
1,3847,34.0
1,3873,26.0
1,3890,17.0
1,3917,27.0
1,3928,11.0
1,3953,25.0
1,4012,59.0
1,4028,16.0
1,4062,34.0
1,4100,38.0
1,4128,28.0
1,4174,46.0
1,4193,19.0
1,4236,43.0
1,4279,43.0
1,4324,45.0
1,4338,14.0
1,4359,21.0
1,4397,38.0
1,4512,115.0
1,4535,23.0
1,4568,33.0
1,4579,11.0
1,4610,31.0
1,4664,54.0
1,4680,16.0
1,4697,17.0
1,4731,34.0
1,4750,19.0
1,4770,20.0
1,4813,43.0
1,4838,25.0
1,4853,15.0
1,4866,13.0
1,4881,15.0
1,4898,17.0
1,4926,28.0
1,4952,26.0
1,5005,53.0
1,5018,13.0
1,5055,37.0
1,5071,16.0
1,5109,38.0
1,5189,80.0
1,5240,51.0
1,5252,12.0
1,5278,26.0
1,5312,34.0
1,5348,36.0
1,5367,19.0
1,5392,25.0
1,5441,49.0
1,5505,64.0
1,5558,53.0
1,5569,11.0
1,5599,30.0
1,5619,20.0
1,5645,26.0
1,5682,37.0
1,5705,23.0
1,5720,15.0
1,5768,48.0
1,5789,21.0
1,5800,11.0
1,5856,56.0
1,5924,68.0
1,5946,22.0
1,5982,36.0
1,6024,42.0
1,6040,16.0
1,6104,64.0
1,6136,32.0
1,6151,15.0
1,6175,24.0
1,6199,24.0
1,6231,32.0
1,6265,34.0
1,6286,21.0
1,6309,23.0
1,6329,20.0
1,6408,79.0
1,6433,25.0
1,6450,17.0
1,6473,23.0
1,6499,26.0
1,6606,107.0
1,6633,27.0
1,6646,13.0
1,6688,42.0
1,6701,13.0
1,6713,12.0
1,6777,64.0
1,6799,22.0
1,6810,11.0
1,6869,59.0
1,6895,26.0
1,6926,31.0
1,6945,19.0
1,6981,36.0
1,7005,24.0
1,7020,15.0
1,7040,20.0
1,7071,31.0
1,7086,15.0
1,7096,10.0
1,7118,22.0
1,7132,14.0
1,7152,20.0
1,7177,25.0
1,7197,20.0
1,7262,65.0
1,7331,69.0
1,7419,88.0
1,7432,13.0
1,7441,9.0
1,7519,78.0
1,7551,32.0
1,7565,14.0
1,7577,12.0
1,7593,16.0
1,7603,10.0
1,7615,12.0
1,7628,13.0
1,7643,15.0
1,7660,17.0
1,7671,11.0
1,7685,14.0
1,7749,64.0
1,7761,12.0
1,7807,46.0
1,7817,10.0
1,7843,26.0
1,7869,26.0
1,7905,36.0
1,7924,19.0
1,7945,21.0
1,7965,20.0
1,7979,14.0
1,8041,62.0
1,8058,17.0
1,8084,26.0
1,8150,66.0
1,8177,27.0
1,8205,28.0
1,8242,37.0
1,8256,14.0
1,8302,46.0
1,8332,30.0
1,8390,58.0
1,8420,30.0
1,8455,35.0
1,8563,108.0
1,8579,16.0
1,8650,71.0
1,8666,16.0
1,8681,15.0
1,8696,15.0
1,8770,74.0
1,8806,36.0
1,8860,54.0
1,8880,20.0
1,8942,62.0
1,8985,43.0
1,9005,20.0
1,9073,68.0
1,9111,38.0
1,9177,66.0
1,9244,67.0
1,9343,99.0
1,9379,36.0
1,9391,12.0
1,9449,58.0
1,9467,18.0
1,9514,47.0
1,9536,22.0
1,9592,56.0
1,9629,37.0
1,9666,37.0
1,9687,21.0
1,9706,19.0
1,9720,14.0
1,9733,13.0
1,9744,11.0
1,9778,34.0
1,9839,61.0
1,9864,25.0
1,9929,65.0
1,9973,44.0
1,9990,17.0
1,10003,13.0
1,10028,25.0
1,10046,18.0
1,10064,18.0
1,10078,14.0
1,10094,16.0
1,10231,137.0
1,10272,41.0
1,10296,24.0
1,10370,74.0
1,10401,31.0
1,10414,13.0
1,10427,13.0
1,10491,64.0
1,10503,12.0
1,10624,121.0
1,10675,51.0
1,10808,133.0
1,10903,95.0
1,10950,47.0
1,10999,49.0
1,11015,16.0
1,11146,131.0
1,11209,63.0
1,11253,44.0
1,11372,119.0
1,11419,47.0
1,11510,91.0
1,11591,81.0
1,11623,32.0
1,11650,27.0
1,11746,96.0
1,11823,77.0
1,11851,28.0
1,11863,12.0
1,11926,63.0
1,11942,16.0
1,12026,84.0
1,12051,25.0
1,12073,22.0
1,12101,28.0
1,12176,75.0
1,12201,25.0
1,12237,36.0
1,12266,29.0
1,12299,33.0
1,12312,13.0
1,12328,16.0
1,12355,27.0
1,12370,15.0
1,12451,81.0
1,12484,33.0
1,12495,11.0
1,12540,45.0
1,12566,26.0
1,12603,37.0
1,12652,49.0
1,12692,40.0
1,12815,123.0
1,12843,28.0
1,12925,82.0
1,13088,163.0
1,13103,15.0
1,13127,24.0
1,13141,14.0
1,13155,14.0
1,13246,91.0
1,13284,38.0
1,13365,81.0
1,13437,72.0
1,13531,94.0
1,13555,24.0
1,13577,22.0
1,13614,37.0
1,13699,85.0
1,13721,22.0
1,13736,15.0
1,13815,79.0
1,13843,28.0
1,14062,219.0
1,14100,38.0
1,14223,123.0
1,14243,20.0
1,14295,52.0
1,14498,203.0
1,14513,15.0
1,14546,33.0
1,14580,34.0
1,14615,35.0
1,14651,36.0
1,14689,38.0
1,14721,32.0
1,14731,10.0
1,14754,23.0
1,14805,51.0
1,14839,34.0
1,14886,47.0
1,15026,140.0
1,15044,18.0
1,15113,69.0
1,15148,35.0
1,15207,59.0
1,15314,107.0
1,15330,16.0
1,15397,67.0
1,15412,15.0
1,15436,24.0
1,15472,36.0
1,15503,31.0
1,15610,107.0
1,15656,46.0
1,15698,42.0
1,15809,111.0
1,15902,93.0
1,16076,174.0
1,16150,74.0
1,16193,43.0
1,16252,59.0
1,16337,85.0
1,16405,68.0
1,16569,164.0
1,16589,20.0
1,16661,72.0
1,16716,55.0
1,16795,79.0
1,16892,97.0
1,17013,121.0
1,17073,60.0
1,17109,36.0
1,17127,18.0
1,17228,101.0
1,17346,118.0
1,17516,170.0
1,17563,47.0
1,17607,44.0
1,17631,24.0
1,17771,140.0
1,17790,19.0
1,17882,92.0
1,17911,29.0
1,18082,171.0
1,18169,87.0
1,18261,92.0
1,18312,51.0
1,18421,109.0
1,18518,97.0
1,18537,19.0
1,18555,18.0
1,18617,62.0
1,18638,21.0
1,18809,171.0
1,18827,18.0
1,18851,24.0
1,18993,142.0
1,19020,27.0
1,19114,94.0
1,19245,131.0
1,19259,14.0
1,19311,52.0
1,19447,136.0
1,19528,81.0
1,19587,59.0
1,19600,13.0
1,19613,13.0
