Episode,Mean Total Reward,Std Dev,Smoothed Mean Return
1,28.8,13.731715115017497,28.8
2,19.2,4.749736834815167,24.0
3,30.0,13.711309200802088,26.0
4,24.8,12.319090875547595,25.7
5,17.8,4.069397989875161,24.119999999999997
6,38.4,20.28398382961296,26.5
7,16.8,2.4819347291981715,25.114285714285717
8,17.2,3.815756805667783,24.125
9,16.8,4.261455150532504,23.311111111111114
10,25.4,12.97073629367277,23.52
11,19.2,8.207313811473277,23.12727272727273
12,15.0,8.049844718999243,22.45
13,18.0,4.857983120596447,22.107692307692307
14,28.2,11.034491379306976,22.542857142857144
15,14.4,1.624807680927192,22.0
16,30.4,16.74037036627326,22.525
17,27.2,9.867117106835208,22.8
18,26.6,13.108775686539152,23.01111111111111
19,23.6,6.216108107168021,23.042105263157897
20,17.0,4.427188724235731,22.740000000000002
21,25.2,11.754148203932091,22.56
22,21.6,14.77294825009551,22.68
23,31.4,21.218859535799748,22.75
24,18.6,3.878143885933063,22.44
25,18.2,5.418486873657626,22.46
26,26.0,17.401149387324963,21.84
27,32.0,24.99599967994879,22.6
28,22.4,16.0822883943797,22.86
29,17.2,6.675327707311454,22.88
30,33.6,14.853955702101715,23.29
31,16.6,3.2,23.160000000000004
32,31.8,17.19767426136453,24.0
33,21.8,8.704022058795578,24.19
34,18.4,9.221713506718803,23.7
35,15.6,6.740919818541086,23.759999999999998
36,20.2,9.303762679690406,23.25
37,29.4,28.9039789648415,23.36
38,20.4,12.799999999999999,23.05
39,32.8,18.225257199831226,23.509999999999998
40,16.8,3.54400902933387,23.5
41,24.8,9.703607576566563,23.48
42,18.6,10.150862032359617,23.33
43,21.2,8.399999999999999,22.82
44,15.2,3.6,22.65
45,21.6,8.616263691415206,22.82
46,25.2,9.19565114605812,22.779999999999998
47,25.0,12.47397290361014,22.43
48,15.2,5.2687759489277965,22.07
49,14.8,4.261455150532504,21.95
50,26.2,15.612815249018995,21.580000000000002
51,19.4,8.014985963805552,21.72
52,22.2,4.833218389437829,21.240000000000002
53,18.0,5.440588203494177,21.05
54,18.6,8.064738061462382,21.06
55,17.2,6.64529909033446,21.14
56,28.2,16.203703280423277,21.54
57,14.6,3.7202150475476548,20.8
58,15.2,8.565045242145542,20.54
59,21.2,6.144916598294887,19.96
60,18.8,5.81033561853358,20.06
61,22.8,12.139192724394814,19.96
62,17.8,5.635601121442148,19.919999999999998
63,21.8,8.657944328765346,19.95
64,20.0,14.601369798755183,20.189999999999998
65,36.0,28.376046236218322,20.91
66,25.0,22.609732417700126,20.9
67,26.2,15.791136754521505,20.96
68,25.4,13.305637902783918,21.470000000000002
69,17.0,4.560701700396552,21.580000000000002
70,23.4,10.365326815879952,21.439999999999998
71,24.6,10.55651457631732,21.7
72,23.4,9.221713506718803,21.759999999999998
73,21.0,9.143303560529969,21.91
74,13.2,2.9257477676655586,21.639999999999997
75,19.0,9.591663046625438,21.729999999999997
76,16.2,4.534313619501853,21.130000000000003
77,16.8,5.3814496188294845,21.24
78,16.2,2.7856776554368237,21.29
79,10.8,2.315167380558045,20.77
80,19.0,7.3484692283495345,20.779999999999998
81,13.8,3.867815921162743,20.33
82,26.6,18.423897524682445,20.770000000000003
83,17.0,5.329165037789691,20.53
84,27.2,22.71915491386068,20.89
85,14.0,3.8987177379235853,19.79
86,20.2,10.64706532336493,19.55
87,16.0,3.03315017762062,19.04
88,24.0,10.198039027185569,18.97
89,17.4,5.462600113499065,18.990000000000002
90,15.4,4.586937976471886,18.59
91,20.8,13.13620949893842,18.4
92,21.2,8.009993757800315,18.29
93,17.4,5.314132102234569,18.11
94,23.8,17.713271860387625,18.64
95,26.0,12.601587201618692,18.990000000000002
96,42.6,23.516802503741875,20.31
97,33.2,14.99866660740214,21.130000000000003
98,27.8,14.958609561052123,21.71
99,16.6,12.273548794053006,22.0
100,18.6,7.337574531137657,21.98
101,24.0,7.014271166700073,22.490000000000002
102,18.4,9.830564581955606,22.08
103,14.6,3.7202150475476548,21.96
104,25.4,10.63202708800161,21.869999999999997
105,23.2,12.056533498481228,22.330000000000002
106,19.4,8.380930735902785,22.29
107,25.2,18.247191564731267,22.75
108,18.8,7.95989949685296,22.490000000000002
109,21.2,13.977124167724918,22.68
110,25.0,13.069047402163633,23.16
111,26.6,15.014659503298768,23.45
112,17.8,5.979966555090422,23.28
113,33.2,17.747112441183212,24.07
114,20.2,3.54400902933387,23.89
115,17.8,6.177378084592201,23.48
116,20.8,7.4404300950953095,22.39
117,12.2,1.32664991614216,21.34
118,16.8,3.54400902933387,20.79
119,15.0,4.049691346263317,20.71
120,25.0,19.01578291840754,21.03
121,11.4,1.3564659966250536,20.4
122,19.6,10.892199043352083,20.46
123,13.8,4.791659420284375,20.419999999999998
124,22.0,13.069047402163633,20.25
125,17.2,6.8527366796047255,19.95
126,16.2,1.5999999999999999,19.79
127,20.4,10.836973747315254,19.55
128,15.8,6.554387843269575,19.4
129,13.4,4.223742416388575,19.009999999999998
130,20.4,12.419339757008018,18.78
131,16.6,3.9799497484264794,18.279999999999998
132,14.4,5.161395160225576,18.11
133,15.6,6.343500610861483,17.229999999999997
134,13.0,3.1622776601683795,16.869999999999997
135,22.2,12.859237924542807,17.09
136,25.0,20.31748015872047,17.3
137,14.4,3.2,17.41
138,15.6,2.4166091947189146,17.35
139,19.2,8.49470423263812,17.56
140,25.4,9.520504188329523,17.58
141,26.6,11.92644121270046,18.34
142,12.6,6.280127387243033,17.99
143,27.0,17.60681686165901,18.65
144,18.2,12.998461447417537,18.46
145,35.4,28.534890923218892,19.369999999999997
146,23.4,16.057397049335236,19.729999999999997
147,27.6,16.930445948054647,20.09
148,25.0,15.270887335056859,20.55
149,18.8,10.979981785048643,20.82
150,12.6,1.624807680927192,20.43
151,24.4,13.77824371971987,20.82
152,17.4,9.58331884056875,20.97
153,25.4,6.740919818541087,21.46
154,22.2,5.946427498927402,21.92
155,44.0,31.06766808114185,23.009999999999998
156,11.0,1.4142135623730951,22.31
157,16.4,6.019966777316964,22.41
158,24.2,8.084553172563094,22.839999999999996
159,16.8,7.19444229944198,22.72
160,11.8,2.993325909419153,22.04
161,17.8,12.155657119218196,21.6
162,24.6,17.79438113562818,22.2
163,22.4,8.73155198117723,21.970000000000002
164,26.6,13.850631754544628,22.389999999999997
165,32.4,18.423897524682445,22.240000000000002
166,27.8,15.210522673465235,22.46
167,11.8,1.8330302779823358,21.669999999999998
168,26.6,11.11035552986492,21.75
169,12.8,0.7483314773547883,21.45
170,24.0,15.297058540778355,22.020000000000003
171,26.0,14.38054240979804,22.1
172,20.8,11.702991070662234,22.270000000000003
173,20.6,5.535341001239218,22.029999999999998
174,17.2,8.908422980528035,21.779999999999998
175,22.0,15.633297796690243,20.68
176,11.6,2.4166091947189146,20.71
177,38.0,23.05645245912736,21.79
178,13.2,4.019950248448356,21.240000000000002
179,33.8,25.763540129415446,22.09
180,40.8,34.59132839311032,23.54
181,22.6,15.239422561238992,23.779999999999998
182,19.6,13.184839779079608,23.53
183,28.8,17.451647486698786,23.85
184,18.6,6.343500610861482,23.45
185,31.2,14.218298069740978,23.39
186,12.8,2.5612496949731396,22.639999999999997
187,37.4,23.862941981239445,23.92
188,18.6,7.939773296511683,23.52
189,19.4,14.374978260853126,23.85
190,15.4,6.8,23.419999999999998
191,34.8,25.716920499935444,23.86
192,19.0,12.441864811996632,23.77
193,19.6,10.44222198576529,23.72
194,12.6,2.8000000000000003,23.490000000000002
195,14.8,2.4,23.130000000000003
196,14.2,3.4871191548325386,23.259999999999998
197,18.4,12.043255373859678,22.28
198,17.0,11.15347479487895,22.47
199,15.0,3.7416573867739413,21.53
200,15.6,6.468384651518492,20.27
201,16.0,9.143303560529969,19.94
202,23.2,10.264501936285072,20.119999999999997
203,21.6,12.674383614203887,19.759999999999998
204,15.2,4.664761515876241,19.59
205,14.2,3.1240998703626617,18.74
206,17.6,7.964923100695951,18.98
207,26.6,23.243063481391605,18.44
208,13.0,4.33589667773576,18.160000000000004
209,38.8,23.489572154468885,19.13
210,20.4,15.88206535687346,19.380000000000003
211,41.6,23.660938273872404,19.72
212,19.2,12.464349160706307,19.729999999999997
213,26.2,12.139192724394816,20.060000000000002
214,23.8,13.717142559585799,20.619999999999997
215,15.2,3.1874754901018454,20.64
216,30.0,21.559220765138985,21.43
217,15.2,4.019950248448357,21.270000000000003
218,13.8,3.4871191548325386,21.11
219,28.0,24.60081299469593,21.76
220,41.2,28.03854489805061,23.04
221,40.0,15.824032355881986,24.240000000000002
222,24.8,20.073863604199367,24.32
223,27.4,12.595237195067032,24.61
224,23.8,10.457533169921097,25.04
225,43.2,20.913153755471697,26.490000000000002
226,27.0,20.9093280618962,26.96
227,47.0,29.099828178186893,27.98
228,41.6,39.64643741876438,29.409999999999997
229,28.6,17.6022725805505,28.9
230,33.0,16.673332000533065,29.53
231,34.4,26.257189491642094,29.169999999999998
232,24.8,12.155657119218196,29.45
233,36.0,15.21840990379744,29.940000000000005
234,15.6,7.631513611335565,29.53
235,18.8,14.620533505997653,29.71
236,36.0,27.914154115788644,30.01
237,23.0,10.99090533122727,30.4
238,26.2,16.9162643630324,31.020000000000003
239,37.8,22.355312567709714,31.51
240,18.4,9.13454979733539,30.369999999999997
241,21.4,9.951884243699784,29.439999999999998
242,24.6,14.527215837867903,29.43
243,37.6,25.827117531772686,29.939999999999998
244,12.2,1.469693845669907,29.359999999999996
245,31.8,17.2441294358399,28.79
246,17.4,7.059745037889116,28.309999999999995
247,14.4,2.33238075793812,26.679999999999996
248,35.2,19.681463360228072,26.359999999999996
249,32.0,13.6088206689632,26.53
250,15.8,7.678541528180987,25.669999999999998
251,32.4,15.932357013323546,25.57
252,20.0,8.899438184514796,25.33
253,33.8,13.407460609675496,25.220000000000002
254,24.8,17.010584939971935,25.68
255,28.0,21.78072542409917,26.139999999999997
256,18.6,10.707007051459339,25.27
257,22.2,9.987992791347018,25.229999999999997
258,12.2,2.315167380558045,24.53
259,22.4,8.822698000045111,23.759999999999998
260,30.2,23.961636004246454,24.35
261,18.8,9.389355675444401,24.220000000000002
262,31.4,15.107613974417006,24.56
263,27.6,12.753038853543888,24.06
264,24.8,9.53729521405309,24.69
265,18.8,10.979981785048645,24.04
266,22.4,14.880860190190619,24.29
267,18.8,10.684568311354464,24.509999999999998
268,13.4,2.939387691339814,23.419999999999998
269,19.4,10.248902380255165,22.79
270,21.6,9.329523031752482,23.08
271,24.6,16.81190054693401,22.69
272,18.0,8.602325267042627,22.59
273,18.0,9.528903399657276,21.8
274,33.0,19.026297590440446,22.21
275,28.4,25.989228537992425,22.229999999999997
276,12.4,2.33238075793812,21.92
277,19.6,15.21315220458929,21.79
278,25.8,18.432579851990337,22.47
279,25.2,13.6,22.61
280,33.4,13.169662106523463,22.77
281,13.4,5.043808085167397,22.5
282,21.0,14.546477236774544,21.98
283,35.8,17.232527382830416,22.39
284,11.6,1.624807680927192,21.729999999999997
285,36.4,28.38732111348304,22.61
286,28.4,25.279240494919936,22.91
287,13.8,4.707440918375928,22.66
288,21.8,13.196969349058898,23.080000000000002
289,17.6,10.091580649234292,22.990000000000002
290,20.8,16.19135571840728,22.95
291,11.2,1.1661903789690602,22.279999999999998
292,13.6,6.770524351924302,22.06
293,20.8,12.496399481450648,22.2
294,46.0,31.349641146271516,22.85
295,16.8,6.675327707311455,22.27
296,36.2,23.986662960903917,23.46
297,28.2,22.577865266672134,23.89
298,26.4,24.80806320533709,23.919999999999998
299,41.6,21.058015101143795,24.740000000000002
300,31.0,17.378147196982766,24.619999999999997
301,37.6,28.848570155208733,25.830000000000002
302,29.2,18.345571672749802,26.24
303,18.6,13.850631754544628,25.38
304,27.8,25.39606268695996,26.190000000000005
305,25.0,11.966620241321273,25.619999999999997
306,31.2,10.419213022104884,25.76
307,33.6,22.843817544359784,26.75
308,17.8,10.43839068055991,26.55
309,31.0,13.099618315050252,27.22
310,47.2,27.051062825700583,28.54
311,24.0,10.13903348450926,29.18
312,27.0,8.87693640846886,29.85
313,23.2,11.668761716651858,29.970000000000006
314,26.4,12.2245654319489,28.990000000000002
315,31.0,11.15347479487895,29.7
316,14.2,5.418486873657627,28.6
317,27.8,12.221292893961753,28.580000000000002
318,29.6,14.192955999368138,28.740000000000002
319,19.4,7.059745037889116,27.630000000000003
320,16.6,7.683749084919419,26.910000000000004
321,19.0,10.237187113655782,25.98
322,20.0,9.423375191511797,25.52
323,30.2,18.88279640307547,26.1
324,23.8,17.33666634621547,25.9
325,20.4,11.740528097151337,25.669999999999998
326,19.8,9.389355675444403,25.1
327,21.6,9.264987857520376,24.5
328,36.8,22.955609336282055,25.45
329,14.6,5.499090833947008,24.63
330,17.4,8.97997772825746,23.14
331,26.0,17.308957218735046,23.240000000000002
332,14.4,5.083306010855534,22.61
333,12.8,4.445222154178574,22.09
334,28.2,19.415457759218555,22.18
335,16.4,6.6211781428987395,21.45
336,26.4,12.7216351150314,22.06
337,33.8,30.48540634467581,22.36
338,12.6,2.0591260281974,21.509999999999998
339,20.0,13.475904422338413,21.54
340,24.2,14.2464030548065,21.919999999999998
341,26.6,16.230834852218788,22.3
342,33.2,16.01749044014074,22.96
343,18.8,11.754148203932091,22.39
344,33.0,14.394443372357264,22.85
345,34.6,9.156418513807678,23.56
346,27.6,18.799999999999997,23.95
347,31.2,16.726027621644057,24.43
348,31.0,15.594870951694341,24.139999999999997
349,36.6,21.546229368499723,25.240000000000002
350,20.8,14.260434775980709,25.41
351,25.6,18.18350901228913,25.389999999999997
352,12.6,1.3564659966250536,25.3
353,22.0,13.92838827718412,25.76
354,24.0,16.649324310613927,25.55
355,25.2,10.703270528207721,25.990000000000002
356,21.6,13.016912076218384,25.75
357,19.4,17.805617091243988,25.029999999999998
358,35.2,19.85346317396539,26.160000000000004
359,21.2,14.455448799674121,26.22
360,21.8,18.616122045152153,26.1
361,19.4,7.337574531137657,25.74
362,32.2,17.56587601003719,25.690000000000005
363,14.6,7.83836717690617,25.48
364,32.0,21.531372459738837,25.43
365,44.2,22.85957129956728,25.910000000000004
366,21.2,13.862178760930766,25.59
367,26.4,12.955307792561317,25.35
368,15.8,7.025667228100119,24.59
369,25.4,13.54400236266961,24.03
370,12.8,4.166533331199932,23.630000000000003
371,20.8,8.304215796810679,23.39
372,13.4,5.535341001239218,23.43
373,16.2,7.730459236035076,23.14
374,16.4,8.73155198117723,22.759999999999998
375,19.2,8.084553172563094,22.46
376,38.2,32.93265856258799,23.29
377,14.6,7.3647810558087885,23.05
378,19.4,7.735631842325486,22.259999999999998
379,22.0,12.505998560690786,22.3
380,22.8,10.552724766618336,22.35
381,31.4,19.764614845728715,22.95
382,16.4,4.127953488110059,22.16
