Episode,Mean Total Reward,Std Dev,Smoothed Mean Return
1,15.6,4.223742416388575,15.6
2,19.2,7.4404300950953095,17.4
3,24.8,10.943491216243563,19.866666666666667
4,27.6,9.991996797437437,21.8
5,16.0,5.403702434442518,20.64
6,19.4,5.571355310873647,20.433333333333334
7,14.4,5.0039984012787215,19.571428571428573
8,29.6,24.40983408382777,20.825
9,16.2,5.844655678480984,20.311111111111114
10,23.6,4.409081537009721,20.64
11,26.2,17.03408347989407,21.145454545454545
12,21.8,7.138627319029899,21.2
13,19.4,7.031358332498779,21.06153846153846
14,19.6,6.916646586316233,20.957142857142856
15,22.6,10.707007051459339,21.066666666666666
16,26.4,10.594338110519223,21.4
17,33.4,15.317963311093289,22.105882352941176
18,28.6,11.306635220082056,22.466666666666665
19,18.4,5.314132102234569,22.25263157894737
20,17.8,2.315167380558045,22.03
21,19.0,9.186947262284681,22.2
22,22.8,12.416118556135006,22.38
23,21.0,4.8166378315169185,22.189999999999998
24,14.2,4.069397989875161,21.520000000000003
25,18.0,4.242640687119285,21.62
26,27.4,9.046546302318914,22.02
27,18.6,2.4166091947189146,22.23
28,27.2,20.81730049742281,22.11
29,22.2,9.042123644365853,22.41
30,32.2,22.973027662891976,22.84
31,20.6,8.357032966310472,22.56
32,14.6,4.363484845854286,22.2
33,33.0,16.284962388657824,22.880000000000003
34,29.0,21.69792616818483,23.35
35,20.8,8.158431221748456,23.259999999999998
36,27.0,19.748417658131498,23.29
37,25.2,17.010584939971935,22.880000000000003
38,18.8,3.3105890714493698,22.39
39,49.6,50.81574559130271,23.95
40,17.6,3.4409301068170506,23.94
41,22.6,12.273548794053006,24.119999999999997
42,21.4,6.945502141674136,24.050000000000004
43,37.0,29.427877939124322,24.85
44,19.6,6.2801273872430325,25.119999999999997
45,22.6,11.909659944767524,25.35
46,42.4,17.338973441354593,26.1
47,26.8,8.059776671843954,26.51
48,20.0,6.723094525588644,26.15
49,22.2,8.280096617793781,26.15
50,34.0,16.69730517179344,26.240000000000002
51,38.0,26.773120849090418,27.110000000000003
52,23.8,17.679366504487657,27.57
53,16.8,4.955804677345547,26.759999999999998
54,22.6,10.071742649611338,26.439999999999998
55,39.6,23.69472515139182,27.380000000000003
56,18.8,4.833218389437829,26.97
57,25.2,8.44748483277715,26.97
58,31.8,12.639620247459968,27.619999999999997
59,35.6,26.41666140904259,26.919999999999998
60,36.2,16.678129391511508,27.85
61,31.2,12.023310692151309,28.279999999999994
62,26.0,10.430723848324238,28.509999999999998
63,46.4,34.563564630980984,28.98
64,36.2,12.734205903785286,29.809999999999995
65,27.6,10.248902380255165,30.060000000000002
66,35.0,10.13903348450926,29.689999999999998
67,34.8,16.01749044014074,30.089999999999996
68,49.6,22.89628790874189,31.57
69,54.0,31.20897306865447,33.16
70,40.2,9.96794863550169,33.47
71,33.4,22.25848152952038,33.239999999999995
72,20.4,5.388877434122992,33.07
73,41.2,17.174399552822802,34.290000000000006
74,54.6,18.488915598271305,35.89
75,43.6,29.45233437267749,36.089999999999996
76,47.8,35.40847356212916,37.540000000000006
77,46.2,34.09633411380174,38.589999999999996
78,26.0,17.81010948871455,38.3
79,35.6,17.0598944897089,38.3
80,39.6,17.681628884240276,38.47
81,34.6,27.659356463952665,38.64
82,72.4,35.268115912251396,40.96
83,56.2,9.239047569960876,41.45
84,55.0,32.48999846106491,42.39
85,50.4,18.194504664870657,43.53
86,27.2,14.89160837518903,43.14
87,49.2,24.498163196452097,43.86
88,38.4,31.90987308028661,43.3
89,42.2,20.291870293297265,42.71
90,47.0,17.308957218735046,43.05
91,62.6,33.57737333383896,44.510000000000005
92,52.2,38.25911656063166,46.1
93,33.4,21.8961183774659,45.71
94,88.4,32.74507596570819,47.4
95,41.2,27.520174418051933,47.28000000000001
96,48.0,28.31254139069822,47.290000000000006
97,56.8,33.67729205265768,47.82000000000001
98,46.4,18.937792902025304,48.84
99,82.8,45.15927368769343,51.2
100,73.6,50.56322774507181,52.9
101,70.2,12.270289320142375,54.67999999999999
102,56.8,25.69357896440276,53.9
103,39.4,22.913751329714653,53.06
104,68.6,55.42057379710174,53.739999999999995
105,58.8,25.388186229031803,54.15999999999999
106,84.0,38.486361220567474,57.0
107,64.8,69.04317489803029,57.779999999999994
108,61.8,27.830918058878332,58.95
109,74.6,35.34176000144871,60.56999999999999
110,58.8,31.669543728951954,61.15999999999999
111,66.2,41.14073407220634,61.339999999999996
