Episode,Return
1,-500.0
2,-500.0
3,-500.0
4,-500.0
5,-500.0
6,-500.0
7,-500.0
8,-500.0
9,-500.0
10,-500.0
11,-393.0
12,-452.0
13,-500.0
14,-500.0
15,-500.0
16,-500.0
17,-500.0
18,-500.0
19,-500.0
20,-500.0
21,-467.0
22,-316.0
23,-156.0
24,-172.0
25,-203.0
26,-172.0
27,-169.0
28,-119.0
29,-112.0
30,-129.0
31,-140.0
32,-114.0
33,-134.0
34,-121.0
35,-120.0
36,-135.0
37,-137.0
38,-80.0
39,-99.0
40,-113.0
41,-80.0
42,-120.0
43,-137.0
44,-85.0
45,-79.0
46,-88.0
47,-172.0
48,-110.0
49,-122.0
50,-110.0
51,-93.0
52,-117.0
53,-94.0
54,-89.0
55,-111.0
56,-111.0
57,-77.0
58,-93.0
59,-100.0
60,-86.0
61,-114.0
62,-109.0
63,-112.0
64,-96.0
65,-90.0
66,-91.0
67,-96.0
68,-86.0
69,-500.0
70,-70.0
71,-81.0
72,-102.0
73,-103.0
74,-99.0
75,-81.0
76,-97.0
77,-500.0
78,-161.0
79,-79.0
80,-100.0
81,-79.0
82,-126.0
83,-99.0
84,-153.0
85,-90.0
86,-115.0
87,-88.0
88,-143.0
89,-138.0
90,-84.0
91,-78.0
92,-185.0
93,-108.0
94,-96.0
95,-106.0
96,-80.0
97,-80.0
98,-109.0
99,-95.0
100,-73.0
101,-104.0
102,-93.0
103,-107.0
104,-87.0
105,-134.0
106,-97.0
107,-98.0
108,-102.0
109,-131.0
110,-86.0
111,-177.0
112,-91.0
113,-128.0
114,-109.0
115,-97.0
116,-113.0
117,-106.0
118,-93.0
119,-208.0
120,-119.0
121,-87.0
122,-86.0
123,-90.0
124,-91.0
125,-83.0
126,-100.0
127,-92.0
128,-77.0
129,-78.0
130,-85.0
131,-86.0
132,-90.0
133,-96.0
134,-71.0
135,-106.0
136,-162.0
137,-93.0
138,-70.0
139,-78.0
140,-87.0
141,-88.0
142,-127.0
143,-105.0
144,-90.0
145,-88.0
146,-99.0
147,-98.0
148,-95.0
149,-81.0
150,-73.0
151,-90.0
152,-103.0
153,-79.0
154,-189.0
155,-109.0
156,-83.0
157,-90.0
158,-107.0
159,-64.0
160,-86.0
161,-90.0
162,-251.0
163,-88.0
164,-85.0
165,-83.0
166,-93.0
167,-135.0
168,-90.0
169,-94.0
170,-122.0
171,-73.0
172,-86.0
173,-114.0
174,-65.0
175,-105.0
176,-80.0
177,-101.0
178,-92.0
179,-87.0
180,-78.0
181,-86.0
182,-91.0
183,-95.0
184,-71.0
185,-98.0
186,-85.0
187,-95.0
188,-89.0
189,-94.0
190,-85.0
191,-93.0
192,-79.0
193,-73.0
194,-92.0
195,-71.0
196,-93.0
197,-95.0
198,-95.0
199,-62.0
200,-71.0
201,-66.0
202,-97.0
203,-94.0
204,-199.0
205,-101.0
206,-74.0
207,-76.0
208,-96.0
209,-160.0
210,-94.0
211,-85.0
212,-90.0
213,-98.0
214,-72.0
215,-76.0
216,-79.0
217,-65.0
218,-69.0
219,-72.0
220,-96.0
221,-103.0
222,-87.0
223,-89.0
224,-114.0
225,-84.0
226,-79.0
227,-116.0
228,-101.0
229,-88.0
230,-89.0
231,-73.0
232,-110.0
233,-99.0
234,-97.0
235,-81.0
236,-72.0
237,-92.0
238,-73.0
239,-64.0
240,-77.0
241,-90.0
242,-107.0
243,-78.0
244,-84.0
245,-68.0
246,-64.0
247,-89.0
248,-76.0
249,-116.0
250,-88.0
251,-133.0
252,-77.0
253,-81.0
254,-95.0
255,-77.0
256,-83.0
257,-79.0
258,-75.0
259,-85.0
260,-75.0
261,-93.0
262,-152.0
263,-65.0
264,-72.0
265,-106.0
266,-80.0
267,-88.0
268,-65.0
269,-72.0
270,-77.0
271,-80.0
272,-72.0
273,-75.0
274,-72.0
275,-86.0
276,-93.0
277,-111.0
278,-77.0
279,-98.0
280,-76.0
281,-78.0
282,-98.0
283,-161.0
284,-92.0
285,-61.0
286,-82.0
287,-82.0
288,-75.0
289,-99.0
290,-88.0
291,-94.0
292,-98.0
293,-83.0
294,-114.0
295,-80.0
296,-69.0
297,-73.0
298,-77.0
299,-64.0
300,-145.0
301,-75.0
302,-71.0
303,-92.0
304,-95.0
305,-93.0
306,-64.0
307,-196.0
308,-91.0
309,-87.0
310,-77.0
311,-81.0
312,-91.0
313,-93.0
314,-69.0
315,-92.0
316,-92.0
317,-67.0
318,-82.0
319,-94.0
320,-137.0
321,-84.0
322,-186.0
323,-89.0
324,-95.0
325,-81.0
326,-128.0
327,-62.0
328,-120.0
329,-116.0
330,-74.0
331,-78.0
332,-89.0
333,-73.0
334,-90.0
