Episode,Return
1,-369.59696459559075
2,-495.08519314954265
3,-620.1547893355312
4,-431.1395836869056
5,-523.6271314810542
6,-536.2095024846672
7,-377.1521924896424
8,-520.3139388906429
9,-309.43548190108345
10,-393.79995459012883
11,-335.3549044167488
12,-516.0978515395236
13,-419.4088966046609
14,-336.06664637192563
15,-451.63976441358096
16,-415.6202184652137
17,-497.78793973639466
18,-475.6341103191586
19,-347.5971552760712
20,-447.32357226381714
21,-440.9430061636208
22,-461.781301750351
23,-423.81919039869257
24,-553.1634685358249
25,-400.5198639691515
26,-520.9387316303915
27,-398.29569211620725
28,-395.2090568836553
29,-460.0347824804178
30,-343.05658968500677
31,-470.7767876663729
32,-420.5816275618345
33,-359.701809878535
34,-476.0573720329837
35,-397.8653630961206
36,-490.6495354111544
37,-423.1622287972079
38,-449.84585301771256
39,-518.0710954345569
40,-486.6023830005466
41,-412.5023475009455
42,-413.12068786134
43,-425.82484987563777
44,-496.5818161167462
45,-393.0054814765011
46,-419.63576274258907
47,-427.9865140340151
48,-577.4901264477611
49,-527.9805622794609
50,-538.8787550038845
51,-437.69929050354807
52,-479.05011157137403
53,-362.8554369078701
54,-568.2454703437851
55,-511.85266981115217
56,-447.72371779072137
57,-386.17685347922617
58,-279.37392823617313
59,-429.0069637084406
60,-344.3984547412523
61,-303.33198531765663
62,-348.23707851923655
63,-393.43447168354464
64,-336.6100140603897
65,-405.7760672326408
66,-446.77730302737115
67,-424.47830894266724
68,-454.8321296090596
69,-474.87411190219416
70,-447.9913854143193
71,-594.9967070072066
72,-372.4467625106852
73,-285.76056511623125
74,-366.79501713526304
75,-514.7873941010466
76,-396.4705342351293
77,-396.053479769658
78,-287.0380108898821
79,-269.7545581869142
80,-405.05940159431617
81,-433.93505481402264
82,-370.9028734317198
83,-446.6798402473778
84,-344.67725330906444
85,-372.4612471154908
86,-583.2337779042452
87,-419.6631714798799
88,-512.3817173745559
89,-321.448875819954
90,-466.86368799220315
91,-456.99270361605585
92,-444.12180751157393
93,-568.6892042751083
94,-392.76209826369177
95,-418.4953769853196
96,-291.03500388994865
97,-501.54204664840097
98,-443.77731175151837
99,-447.0398024811799
100,-388.4549084447081
101,-232.14587998523996
102,-435.07837942292264
103,-480.6893464336332
104,-389.60087092217503
105,-511.14677697744315
106,-440.09415343740375
107,-452.0597350965256
108,-431.65885293513617
109,-462.11038999366485
110,-534.1886189451807
111,-420.17352084461845
112,-304.869668267815
113,-343.4324886806167
114,-282.33756788012
115,-181.24260869543545
116,-569.614986818634
117,-327.59895412823255
118,-410.4389244910459
119,-209.12529608148836
120,-417.3508601860373
121,-697.3638962174487
122,-516.3407613630407
123,-364.9251362424033
124,-477.5700045478473
125,-427.0976265072264
126,-332.4885680271638
127,-412.3682131462065
128,-158.97530372839464
129,-515.6640090886654
130,-483.00118615923714
131,-490.5050021963922
132,-454.4669876960126
133,-464.0003483427021
134,-485.6434069050442
135,-326.40429082575577
136,-520.917142245025
137,-466.05809727183953
138,-392.34796619220214
139,-434.0740705229134
140,-343.6401172823209
141,-486.4221426398793
142,-432.6356053947499
143,-498.2891315396075
144,-494.52373647324646
145,-391.87656491928686
146,-385.21429590517505
147,-318.8251983696647
148,-411.2165469897194
149,-406.8943438960654
150,-545.7557005226474
151,-449.93100775692346
152,-452.3964030384741
153,-308.9389558518446
154,-472.8848097709422
155,-378.4884072477674
156,-443.7564020221831
157,-267.32906881745123
158,-404.5357182133539
159,-429.4214928942605
160,-575.1421802125918
161,-450.34072179894673
162,-431.6430009039339
163,-406.73730789807314
164,-349.24799451443613
165,-458.8663644385157
166,-319.35018346100594
167,-762.8860292679608
168,-354.58953424405377
169,-247.57101607264624
170,-472.6068273233611
171,-362.6399467594968
172,-402.52256453332126
173,-324.7301040149911
174,-387.55828849937734
175,-322.25893461077743
176,-493.60683246111296
177,-571.6443850987824
178,-466.80731897317247
179,-546.0163559819628
180,-278.1682902794103
181,-357.1997115074045
182,-591.9974917824535
183,-468.35856212769465
184,-403.3299321159715
185,-437.42757381290477
186,-424.5871960193692
187,-427.46844201930816
188,-473.2229071793672
189,-552.9632017438955
190,-338.5376700871165
191,-402.28267763497735
192,-449.8572956839697
193,-478.516904336614
194,-408.49403580943715
195,-263.11527745339293
196,-642.2345313327262
197,-432.3436353449945
198,-432.20756934534995
199,-490.8023647056565
200,-563.6911231462352
201,-430.434569048394
202,-553.3213426724501
203,-489.66887920757216
204,-404.8231379432268
205,-561.2965605205779
206,-343.8117647180498
207,-245.80544328080202
208,-505.69609174898665
209,-384.8044843831409
210,-548.8745479516868
211,-513.0276283505307
212,-540.008693638197
213,-376.25392567418527
214,-406.2428860183143
215,-393.3171124741237
216,-260.2508447501749
217,-506.5722913792872
218,-433.72405273577414
219,-470.0180808804803
220,-357.02595021827955
221,-564.7145054482048
222,-526.2665017193203
223,-474.2179431445726
224,-386.21147588171186
225,-468.2793021856125
226,-422.7512799739128
227,-416.72768125673434
228,-320.66559315739056
229,-442.8156332168739
230,-614.935507210125
231,-545.732832614752
232,-449.05785574370486
233,-514.6825167798995
234,-500.3409865711332
235,-543.9630306531323
236,-448.10446540074236
237,-386.25874713920945
238,-297.42825364466484
239,-501.109170838232
240,-401.9534611126944
241,-434.27199938161755
242,-502.31929350413156
243,-462.6110290641617
244,-431.74375046430526
245,-278.6793334307753
246,-299.5011069330067
247,-530.8734831406337
248,-317.8905767870993
249,-408.87605751764653
250,-448.1508482546773
251,-544.2389325663515
252,-580.4829744363253
253,-468.20199446832214
254,-463.8432317712301
255,-463.0624828812549
256,-568.7456652813961
257,-445.30849799208033
258,-593.8168672339324
