Episode,Return
1,-500.0
2,-500.0
3,-500.0
4,-500.0
5,-500.0
6,-500.0
7,-500.0
8,-500.0
9,-500.0
10,-500.0
11,-500.0
12,-500.0
13,-500.0
14,-500.0
15,-500.0
16,-500.0
17,-500.0
18,-500.0
19,-500.0
20,-500.0
21,-500.0
22,-500.0
23,-500.0
24,-500.0
25,-500.0
26,-500.0
27,-500.0
28,-500.0
29,-500.0
30,-500.0
31,-500.0
32,-213.0
33,-224.0
34,-260.0
35,-324.0
36,-227.0
37,-293.0
38,-202.0
39,-181.0
40,-317.0
41,-200.0
42,-285.0
43,-346.0
44,-307.0
45,-297.0
46,-354.0
47,-177.0
48,-200.0
49,-156.0
50,-237.0
51,-211.0
52,-187.0
53,-219.0
54,-217.0
55,-205.0
56,-243.0
57,-189.0
58,-175.0
59,-170.0
60,-195.0
61,-164.0
62,-138.0
63,-170.0
64,-199.0
65,-198.0
66,-182.0
67,-182.0
68,-124.0
69,-143.0
70,-179.0
71,-159.0
72,-165.0
73,-154.0
74,-199.0
75,-169.0
76,-223.0
77,-157.0
78,-141.0
79,-141.0
80,-198.0
81,-136.0
82,-130.0
83,-187.0
84,-160.0
85,-181.0
86,-158.0
87,-128.0
88,-184.0
89,-169.0
90,-132.0
91,-136.0
92,-184.0
93,-160.0
94,-125.0
95,-146.0
96,-125.0
97,-127.0
98,-149.0
99,-133.0
100,-90.0
101,-98.0
102,-88.0
103,-93.0
104,-77.0
105,-63.0
106,-86.0
107,-149.0
108,-115.0
109,-80.0
110,-86.0
111,-130.0
112,-184.0
113,-63.0
114,-70.0
115,-64.0
116,-81.0
117,-110.0
118,-87.0
119,-135.0
120,-99.0
121,-84.0
122,-64.0
123,-95.0
124,-87.0
125,-62.0
126,-80.0
127,-76.0
128,-76.0
129,-80.0
130,-77.0
131,-85.0
132,-60.0
133,-70.0
134,-71.0
135,-88.0
136,-110.0
137,-91.0
138,-81.0
139,-98.0
140,-87.0
141,-77.0
142,-94.0
143,-72.0
144,-94.0
145,-143.0
146,-108.0
147,-71.0
148,-73.0
149,-142.0
150,-75.0
151,-181.0
152,-64.0
153,-119.0
154,-91.0
155,-89.0
156,-79.0
157,-61.0
158,-101.0
159,-98.0
160,-68.0
161,-87.0
162,-97.0
163,-84.0
164,-79.0
165,-90.0
166,-87.0
167,-85.0
168,-84.0
169,-80.0
170,-98.0
171,-81.0
172,-71.0
173,-81.0
174,-71.0
175,-70.0
176,-80.0
177,-71.0
178,-160.0
179,-78.0
180,-90.0
181,-78.0
182,-79.0
183,-72.0
184,-70.0
185,-63.0
186,-78.0
187,-84.0
188,-83.0
189,-76.0
190,-87.0
191,-77.0
192,-63.0
193,-71.0
194,-94.0
195,-84.0
196,-85.0
197,-87.0
198,-81.0
199,-78.0
200,-65.0
201,-70.0
202,-82.0
203,-70.0
204,-77.0
205,-91.0
206,-77.0
207,-77.0
208,-71.0
209,-80.0
210,-86.0
211,-80.0
212,-80.0
213,-75.0
214,-87.0
215,-91.0
216,-76.0
217,-72.0
218,-76.0
219,-76.0
220,-78.0
221,-72.0
222,-72.0
223,-91.0
224,-77.0
225,-78.0
226,-69.0
227,-80.0
228,-90.0
229,-78.0
230,-69.0
231,-77.0
232,-250.0
233,-72.0
234,-97.0
235,-76.0
236,-91.0
237,-77.0
238,-96.0
239,-89.0
240,-83.0
241,-72.0
242,-85.0
243,-77.0
244,-77.0
245,-78.0
246,-98.0
247,-73.0
248,-76.0
249,-71.0
250,-90.0
251,-69.0
252,-76.0
253,-98.0
254,-500.0
255,-99.0
256,-88.0
257,-77.0
258,-83.0
259,-90.0
260,-69.0
261,-88.0
262,-82.0
263,-94.0
264,-77.0
265,-78.0
266,-172.0
267,-61.0
268,-72.0
269,-80.0
270,-78.0
271,-80.0
272,-85.0
273,-89.0
274,-69.0
275,-86.0
276,-84.0
277,-77.0
278,-86.0
279,-69.0
280,-79.0
281,-69.0
282,-81.0
283,-85.0
284,-79.0
285,-77.0
286,-86.0
287,-72.0
288,-77.0
289,-70.0
290,-75.0
291,-75.0
292,-83.0
293,-83.0
294,-90.0
295,-92.0
296,-87.0
297,-72.0
298,-70.0
299,-78.0
300,-82.0
301,-90.0
302,-96.0
303,-76.0
304,-79.0
305,-84.0
306,-70.0
307,-78.0
308,-64.0
309,-136.0
310,-77.0
311,-71.0
312,-83.0
313,-98.0
314,-164.0
315,-81.0
316,-84.0
317,-78.0
318,-83.0
319,-63.0
320,-82.0
321,-88.0
322,-70.0
323,-111.0
324,-69.0
325,-77.0
326,-93.0
327,-71.0
328,-71.0
329,-88.0
330,-90.0
331,-87.0
332,-80.0
333,-91.0
334,-121.0
