Episode,Return
1,-174.02308897568506
2,-380.3070055575043
3,-293.35246917594986
4,-237.15552588315023
5,-205.94489042851427
6,-230.7487642542816
7,-186.78838963033536
8,-277.79862900145133
9,-233.80416362528604
10,-182.805666446935
11,-200.36710357746122
12,-267.58774266088847
13,-203.08661789957193
14,-132.34434255210948
15,-179.158255534985
16,-219.65808214886104
17,-185.0550441607863
18,-147.14754143831135
19,-109.61684628583308
20,-113.48472291138465
21,-163.37786401314668
22,-225.87955173166037
23,-248.1961149530506
24,-79.83888859801421
25,-13.368803914280939
26,-338.33266855057883
27,-454.1291669086413
28,-185.63852041898775
29,-105.19939859972963
30,-222.5167758056039
31,-169.82886761583111
32,-100.71550211669481
33,-460.07325851537877
34,-680.3508942929278
35,-366.24054512334646
36,-569.1943378633295
37,-186.88301609816082
38,-72.70154409552268
39,-155.98725747131573
40,-252.03794942190686
41,-261.74568789845637
42,-191.34059996002455
43,-271.1143598031265
44,-329.17556470484317
45,-249.54821645563115
46,-164.38152403579537
47,-116.48485524906923
48,-140.97605691592193
49,-120.50994254372665
50,-122.10406322153347
51,-97.23202515846573
52,-38.21954395995108
53,-320.8836185046974
54,-36.64606679920075
55,-430.95425532272003
56,-507.33625478763685
57,-545.3973076740249
58,-389.9647392127317
59,-417.0843015403829
60,-177.25873819948387
61,-368.0707329320041
62,-33.78561438037603
63,-246.59580450244957
64,-308.05606162550896
65,-126.4707106955332
66,-352.27805073391943
67,-443.2792100057825
68,-431.7977736572613
69,-483.4086022346346
70,-476.8879015554649
71,-441.4711177699076
72,79.60732286120329
73,-0.8816570955505831
74,1.4959232442589219
75,-392.94593607952726
76,-394.45607461746505
77,-411.3797820374915
78,-398.5516597199732
79,-368.60451994788104
80,-346.9564128062741
81,-393.19476298441333
82,-100.45178356602841
83,-386.0284610077206
84,73.30916773927882
85,-180.79008146738477
86,-104.18329362268076
87,-406.41607823005427
88,-0.2138741815773173
89,-200.43190191058704
90,-402.4471241013315
91,-185.52101555923542
92,-223.08535824602507
93,-345.1291906019615
94,4.502887447299596
95,-104.26650518241979
96,-106.35564884458951
97,-17.434295650615105
98,96.02573625174429
99,5.899377425568627
100,-164.05309099500724
101,-85.38263329191756
102,-548.083990266393
103,-179.26037591769307
104,-222.7537012476234
105,-449.50586665199853
106,-95.44922663638711
107,-30.848935966677622
108,-37.696660829873124
109,-50.409313408805346
110,66.56959677860198
111,77.47895764624323
112,135.23123266007929
113,87.1005658710349
114,27.63181646507874
115,-77.01482882580395
116,-267.9228262522573
117,-115.20953343728539
118,-115.23424931998912
119,0.7847550518391984
120,-241.30102757497667
121,-548.3356646470507
122,-579.5851630336028
123,-154.1441681474108
124,-103.0791817495292
125,-260.7181613784095
126,-323.3730327945907
