Episode,Return
1,23.0
2,11.0
3,14.0
4,14.0
5,100.0
6,20.0
7,29.0
8,21.0
9,18.0
10,40.0
11,17.0
12,52.0
13,27.0
14,17.0
15,32.0
16,10.0
17,10.0
18,26.0
19,10.0
20,14.0
21,9.0
22,30.0
23,9.0
24,84.0
25,55.0
26,12.0
27,33.0
28,22.0
29,15.0
30,18.0
31,21.0
32,17.0
33,20.0
34,27.0
35,13.0
36,31.0
37,20.0
38,45.0
39,14.0
40,21.0
41,30.0
42,29.0
43,21.0
44,29.0
45,42.0
46,35.0
47,35.0
48,67.0
49,10.0
50,47.0
51,19.0
52,16.0
53,17.0
54,28.0
55,20.0
56,12.0
57,16.0
58,46.0
59,18.0
60,34.0
61,18.0
62,12.0
63,15.0
64,15.0
65,13.0
66,16.0
67,12.0
68,16.0
69,32.0
70,16.0
71,21.0
72,12.0
73,30.0
74,22.0
75,13.0
76,28.0
77,34.0
78,21.0
79,19.0
80,20.0
81,17.0
82,18.0
83,16.0
84,36.0
85,13.0
86,12.0
87,38.0
88,41.0
89,31.0
90,17.0
91,11.0
92,46.0
93,19.0
94,21.0
95,15.0
96,21.0
97,29.0
98,27.0
99,48.0
100,11.0
101,25.0
102,23.0
103,94.0
104,41.0
105,26.0
106,29.0
107,17.0
108,27.0
109,24.0
110,10.0
111,25.0
112,40.0
113,24.0
114,27.0
115,28.0
116,43.0
117,19.0
118,32.0
119,12.0
120,25.0
121,83.0
122,28.0
123,38.0
124,40.0
125,21.0
126,85.0
127,21.0
128,28.0
129,30.0
130,19.0
131,19.0
132,32.0
133,25.0
134,52.0
135,36.0
136,40.0
137,33.0
138,20.0
139,75.0
140,31.0
141,44.0
142,16.0
143,50.0
144,63.0
145,38.0
146,15.0
147,17.0
148,19.0
149,23.0
150,14.0
151,67.0
152,34.0
153,29.0
154,41.0
155,50.0
156,15.0
157,22.0
158,27.0
159,79.0
160,29.0
161,23.0
162,22.0
163,82.0
164,20.0
165,66.0
166,27.0
167,43.0
168,104.0
169,35.0
170,65.0
171,47.0
172,62.0
173,25.0
174,41.0
175,76.0
