Episode,Return
1,21.0
2,26.0
3,38.0
4,17.0
5,12.0
6,14.0
7,14.0
8,29.0
9,17.0
10,36.0
11,31.0
12,18.0
13,22.0
14,19.0
15,15.0
16,14.0
17,9.0
18,24.0
19,21.0
20,13.0
21,20.0
22,14.0
23,31.0
24,29.0
25,20.0
26,8.0
27,23.0
28,26.0
29,11.0
30,15.0
31,16.0
32,8.0
33,25.0
34,27.0
35,21.0
36,10.0
37,18.0
38,32.0
39,31.0
40,25.0
41,15.0
42,25.0
43,21.0
44,16.0
45,16.0
46,28.0
47,21.0
48,13.0
49,32.0
50,13.0
51,12.0
52,13.0
53,19.0
54,15.0
55,62.0
56,22.0
57,12.0
58,23.0
59,22.0
60,41.0
61,11.0
62,18.0
63,23.0
64,14.0
65,12.0
66,23.0
67,46.0
68,24.0
69,31.0
70,11.0
71,38.0
72,18.0
73,22.0
74,31.0
75,18.0
76,10.0
77,20.0
78,29.0
79,17.0
80,48.0
81,12.0
82,27.0
83,9.0
84,35.0
85,23.0
86,19.0
87,13.0
88,18.0
89,18.0
90,29.0
91,18.0
92,14.0
93,16.0
94,27.0
95,13.0
96,15.0
97,23.0
98,26.0
99,13.0
100,12.0
101,12.0
102,17.0
103,35.0
104,20.0
105,23.0
106,18.0
107,15.0
108,21.0
109,13.0
110,14.0
111,15.0
112,32.0
113,19.0
114,11.0
115,16.0
116,19.0
117,13.0
118,17.0
119,25.0
120,25.0
121,27.0
122,16.0
123,21.0
124,18.0
125,32.0
126,44.0
127,27.0
128,13.0
129,22.0
130,17.0
131,21.0
132,14.0
133,15.0
134,22.0
135,59.0
136,14.0
137,33.0
138,18.0
139,20.0
140,14.0
141,22.0
142,73.0
143,18.0
144,18.0
145,16.0
146,17.0
147,16.0
148,15.0
149,21.0
150,26.0
151,30.0
152,14.0
153,12.0
154,29.0
155,12.0
156,28.0
157,24.0
158,29.0
159,24.0
160,21.0
161,17.0
162,16.0
163,48.0
164,11.0
165,17.0
166,12.0
167,24.0
168,17.0
169,21.0
170,22.0
171,47.0
172,15.0
173,49.0
174,33.0
175,24.0
176,9.0
177,71.0
178,28.0
179,17.0
180,23.0
181,62.0
182,22.0
183,31.0
184,18.0
185,28.0
186,18.0
187,12.0
188,24.0
189,30.0
190,51.0
191,22.0
192,40.0
193,16.0
194,28.0
195,52.0
196,72.0
197,19.0
198,24.0
199,43.0
200,18.0
201,16.0
202,21.0
203,35.0
204,35.0
205,23.0
206,16.0
207,27.0
208,17.0
209,57.0
210,16.0
211,21.0
212,57.0
213,14.0
214,65.0
