Episode,Return
1,22.0
2,22.0
3,14.0
4,17.0
5,11.0
6,17.0
7,23.0
8,83.0
9,13.0
10,25.0
11,70.0
12,78.0
13,18.0
14,23.0
15,20.0
16,16.0
17,39.0
18,34.0
19,32.0
20,26.0
21,11.0
22,38.0
23,23.0
24,19.0
25,42.0
26,17.0
27,29.0
28,35.0
29,52.0
30,31.0
31,13.0
32,34.0
33,34.0
34,22.0
35,44.0
36,54.0
37,26.0
38,19.0
39,36.0
40,109.0
41,17.0
42,12.0
43,16.0
44,52.0
45,23.0
46,57.0
47,31.0
48,12.0
49,45.0
50,29.0
51,20.0
52,64.0
53,17.0
54,36.0
55,68.0
56,18.0
57,36.0
58,28.0
59,31.0
60,80.0
61,17.0
62,88.0
63,107.0
64,24.0
65,42.0
66,41.0
67,22.0
68,24.0
69,21.0
70,116.0
71,34.0
72,21.0
73,53.0
74,39.0
75,21.0
76,60.0
77,19.0
78,45.0
79,41.0
80,41.0
81,62.0
82,19.0
83,29.0
84,19.0
85,24.0
86,16.0
87,65.0
88,49.0
89,97.0
90,61.0
91,105.0
92,103.0
93,22.0
94,82.0
95,50.0
96,62.0
97,127.0
98,69.0
99,37.0
100,19.0
101,108.0
102,192.0
103,71.0
104,108.0
105,104.0
106,75.0
107,100.0
108,41.0
109,66.0
110,88.0
111,36.0
112,39.0
113,79.0
114,30.0
115,26.0
116,58.0
117,39.0
118,44.0
119,19.0
120,18.0
121,32.0
122,112.0
123,91.0
124,129.0
125,115.0
126,206.0
127,17.0
128,68.0
129,66.0
130,197.0
131,69.0
132,125.0
133,144.0
134,73.0
135,98.0
136,22.0
137,63.0
138,90.0
139,58.0
140,61.0
141,19.0
142,75.0
143,82.0
144,127.0
145,122.0
146,71.0
147,102.0
148,74.0
149,24.0
150,104.0
151,56.0
152,27.0
153,31.0
154,25.0
155,125.0
156,86.0
157,76.0
158,27.0
159,81.0
160,312.0
161,16.0
162,129.0
163,77.0
164,109.0
165,152.0
166,121.0
167,140.0
168,29.0
169,97.0
170,39.0
171,31.0
172,66.0
173,99.0
174,33.0
175,89.0
176,44.0
177,158.0
178,151.0
179,265.0
180,36.0
181,163.0
182,116.0
183,114.0
184,118.0
185,97.0
186,142.0
187,219.0
188,143.0
189,264.0
190,193.0
191,26.0
192,207.0
193,255.0
194,161.0
195,190.0
196,142.0
197,191.0
198,76.0
199,64.0
200,151.0
201,188.0
202,224.0
203,151.0
204,31.0
205,122.0
206,111.0
207,126.0
208,148.0
209,125.0
210,152.0
211,80.0
212,152.0
213,125.0
214,206.0
215,66.0
216,119.0
217,78.0
218,118.0
219,302.0
220,159.0
221,24.0
222,51.0
223,48.0
224,62.0
225,70.0
226,129.0
227,129.0
228,162.0
229,267.0
230,319.0
231,223.0
232,278.0
233,129.0
234,155.0
235,124.0
236,112.0
237,122.0
238,176.0
239,48.0
240,121.0
241,212.0
242,106.0
243,213.0
244,28.0
245,141.0
246,136.0
247,166.0
248,174.0
249,117.0
250,135.0
251,128.0
252,171.0
253,328.0
254,153.0
255,179.0
256,150.0
257,168.0
258,56.0
259,229.0
260,145.0
261,318.0
262,202.0
263,184.0
264,428.0
265,204.0
266,423.0
267,193.0
268,53.0
269,213.0
270,131.0
271,173.0
272,144.0
273,152.0
274,203.0
275,62.0
276,207.0
277,109.0
278,299.0
279,141.0
280,177.0
281,121.0
282,71.0
283,98.0
284,286.0
285,310.0
286,178.0
287,141.0
288,125.0
289,153.0
290,258.0
291,144.0
292,500.0
293,141.0
294,179.0
295,179.0
296,206.0
297,187.0
298,180.0
299,163.0
300,111.0
301,180.0
302,95.0
303,160.0
304,171.0
305,155.0
306,106.0
307,190.0
308,190.0
309,116.0
310,156.0
311,269.0
312,226.0
313,128.0
314,185.0
315,137.0
316,147.0
317,168.0
318,133.0
319,121.0
320,140.0
321,113.0
322,178.0
323,189.0
324,205.0
325,253.0
326,168.0
327,254.0
328,187.0
329,234.0
330,131.0
331,139.0
332,150.0
333,158.0
334,162.0
335,139.0
336,120.0
337,180.0
338,134.0
339,140.0
340,164.0
341,130.0
342,137.0
343,136.0
344,230.0
