Episode,Return
1,18.0
2,26.0
3,13.0
4,17.0
5,19.0
6,25.0
7,26.0
8,17.0
9,22.0
10,44.0
11,21.0
12,27.0
13,13.0
14,12.0
15,23.0
16,20.0
17,30.0
18,15.0
19,14.0
20,13.0
21,18.0
22,19.0
23,42.0
24,29.0
25,60.0
26,17.0
27,18.0
28,14.0
29,33.0
30,23.0
31,52.0
32,19.0
33,21.0
34,39.0
35,17.0
36,41.0
37,41.0
38,24.0
39,34.0
40,42.0
41,25.0
42,135.0
43,38.0
44,69.0
45,21.0
46,26.0
47,60.0
48,35.0
49,19.0
50,29.0
51,35.0
52,48.0
53,52.0
54,23.0
55,39.0
56,25.0
57,40.0
58,12.0
59,28.0
60,27.0
61,57.0
62,20.0
63,42.0
64,229.0
65,42.0
66,52.0
67,45.0
68,106.0
69,38.0
70,18.0
71,53.0
72,20.0
73,28.0
74,169.0
75,20.0
76,52.0
77,29.0
78,123.0
79,30.0
80,97.0
81,57.0
82,29.0
83,33.0
84,18.0
85,62.0
86,168.0
87,105.0
88,43.0
89,52.0
90,96.0
91,54.0
92,33.0
93,88.0
94,76.0
95,34.0
96,27.0
97,34.0
98,17.0
99,150.0
100,47.0
101,50.0
102,63.0
103,93.0
104,131.0
105,177.0
106,67.0
107,46.0
108,72.0
109,60.0
110,28.0
111,51.0
112,73.0
113,299.0
114,120.0
115,103.0
116,83.0
117,142.0
118,104.0
119,36.0
120,40.0
121,69.0
122,63.0
123,127.0
124,231.0
125,48.0
126,19.0
127,24.0
128,62.0
129,63.0
130,39.0
131,15.0
132,57.0
133,191.0
134,137.0
135,55.0
136,184.0
137,31.0
138,69.0
139,74.0
140,68.0
141,143.0
142,129.0
143,62.0
144,89.0
145,29.0
146,18.0
147,288.0
148,103.0
149,101.0
150,186.0
151,199.0
152,17.0
153,185.0
154,64.0
155,66.0
156,87.0
157,93.0
158,27.0
159,30.0
160,76.0
161,142.0
162,20.0
163,126.0
164,207.0
165,30.0
166,39.0
167,46.0
168,25.0
169,29.0
170,58.0
171,67.0
172,160.0
173,159.0
174,99.0
175,131.0
176,163.0
177,93.0
178,56.0
179,189.0
180,66.0
181,34.0
182,114.0
183,127.0
184,187.0
185,28.0
186,98.0
187,134.0
188,59.0
189,115.0
190,98.0
191,88.0
192,79.0
193,108.0
194,115.0
195,164.0
196,212.0
197,170.0
198,40.0
199,49.0
200,129.0
201,76.0
202,152.0
203,101.0
204,168.0
205,114.0
206,43.0
207,142.0
208,142.0
209,187.0
210,128.0
211,135.0
212,173.0
213,112.0
214,156.0
215,61.0
216,106.0
217,164.0
218,143.0
219,143.0
220,146.0
221,104.0
222,66.0
223,182.0
224,272.0
225,161.0
226,100.0
227,116.0
228,102.0
229,145.0
230,174.0
231,254.0
232,97.0
233,115.0
234,79.0
235,74.0
236,210.0
237,161.0
238,72.0
239,222.0
240,144.0
241,143.0
242,294.0
243,172.0
244,150.0
245,117.0
246,54.0
247,29.0
248,44.0
249,68.0
250,61.0
251,79.0
252,71.0
253,89.0
254,148.0
255,210.0
256,318.0
257,111.0
258,393.0
259,260.0
260,206.0
261,139.0
262,169.0
263,355.0
264,147.0
265,210.0
266,181.0
267,174.0
268,200.0
269,221.0
270,290.0
271,236.0
272,182.0
273,174.0
