Episode,Return
1,24.0
2,12.0
3,24.0
4,64.0
5,16.0
6,33.0
7,13.0
8,20.0
9,21.0
10,14.0
11,20.0
12,12.0
13,48.0
14,14.0
15,12.0
16,30.0
17,20.0
18,21.0
19,16.0
20,12.0
21,10.0
22,16.0
23,27.0
24,12.0
25,14.0
26,18.0
27,8.0
28,24.0
29,16.0
30,24.0
31,9.0
32,63.0
33,13.0
34,19.0
35,13.0
36,16.0
37,14.0
38,27.0
39,27.0
40,16.0
41,18.0
42,24.0
43,12.0
44,35.0
45,19.0
46,22.0
47,12.0
48,33.0
49,10.0
50,27.0
51,50.0
52,14.0
53,45.0
54,49.0
55,18.0
56,23.0
57,46.0
58,70.0
59,21.0
60,13.0
61,18.0
62,24.0
63,28.0
64,12.0
65,35.0
66,11.0
67,10.0
68,33.0
69,27.0
70,26.0
71,23.0
72,13.0
73,19.0
74,22.0
75,26.0
76,26.0
77,20.0
78,21.0
79,37.0
80,42.0
81,16.0
82,47.0
83,27.0
84,17.0
85,22.0
86,15.0
87,19.0
88,27.0
89,37.0
90,54.0
91,26.0
92,34.0
93,47.0
94,33.0
95,26.0
96,10.0
97,32.0
98,25.0
99,28.0
100,45.0
101,18.0
102,14.0
103,75.0
104,58.0
105,66.0
106,55.0
107,40.0
108,41.0
109,72.0
110,43.0
111,48.0
112,47.0
113,44.0
114,37.0
115,60.0
116,69.0
117,27.0
118,66.0
119,47.0
120,28.0
121,42.0
122,18.0
123,24.0
124,30.0
125,30.0
126,38.0
127,86.0
128,64.0
129,14.0
130,27.0
131,49.0
132,55.0
133,31.0
134,31.0
135,126.0
136,25.0
137,19.0
138,46.0
139,75.0
140,23.0
141,22.0
142,34.0
143,32.0
144,45.0
145,40.0
146,32.0
147,56.0
148,63.0
149,26.0
150,55.0
151,22.0
152,34.0
153,87.0
154,50.0
155,87.0
156,32.0
157,40.0
158,65.0
159,25.0
160,21.0
161,26.0
162,21.0
163,20.0
164,24.0
165,25.0
166,23.0
167,43.0
168,31.0
169,35.0
170,28.0
171,77.0
172,15.0
173,29.0
174,41.0
175,35.0
176,70.0
177,38.0
178,27.0
179,41.0
180,39.0
181,30.0
182,47.0
183,60.0
184,65.0
185,47.0
186,45.0
187,34.0
188,44.0
189,58.0
190,36.0
191,53.0
192,54.0
193,144.0
194,57.0
195,57.0
196,53.0
197,122.0
198,92.0
199,50.0
200,31.0
201,67.0
202,127.0
203,124.0
204,43.0
205,103.0
206,33.0
207,31.0
208,27.0
209,27.0
210,34.0
211,40.0
212,82.0
213,57.0
214,59.0
215,73.0
216,42.0
217,35.0
218,37.0
219,48.0
220,47.0
221,95.0
222,58.0
223,77.0
224,55.0
225,64.0
226,126.0
227,26.0
228,50.0
229,20.0
230,58.0
231,26.0
232,38.0
233,24.0
234,37.0
235,28.0
236,51.0
237,81.0
238,38.0
239,91.0
240,26.0
241,36.0
242,102.0
243,129.0
244,102.0
245,74.0
246,32.0
247,93.0
248,107.0
249,59.0
250,123.0
251,73.0
252,123.0
253,26.0
254,76.0
255,86.0
256,121.0
257,132.0
258,65.0
259,56.0
260,94.0
261,150.0
262,66.0
263,29.0
264,99.0
265,90.0
266,167.0
267,126.0
268,111.0
269,79.0
270,30.0
271,147.0
272,70.0
273,84.0
274,179.0
275,79.0
276,59.0
277,35.0
278,133.0
279,58.0
280,61.0
281,57.0
282,40.0
283,79.0
284,76.0
285,71.0
286,56.0
287,67.0
288,146.0
289,59.0
290,72.0
291,34.0
292,67.0
293,41.0
294,58.0
295,161.0
296,154.0
297,78.0
298,42.0
299,53.0
300,64.0
301,110.0
302,73.0
303,39.0
304,161.0
305,35.0
306,100.0
307,48.0
308,32.0
309,104.0
310,67.0
311,54.0
312,43.0
313,55.0
314,42.0
315,53.0
316,56.0
317,72.0
318,71.0
319,159.0
320,188.0
321,54.0
322,120.0
323,99.0
324,73.0
325,146.0
326,59.0
327,180.0
328,35.0
329,92.0
330,74.0
331,56.0
332,236.0
333,124.0
334,71.0
335,87.0
336,138.0
337,133.0
338,42.0
339,82.0
340,41.0
341,66.0
342,65.0
343,151.0
344,195.0
345,40.0
346,107.0
347,148.0
348,64.0
349,92.0
350,62.0
351,93.0
352,107.0
353,71.0
354,96.0
355,52.0
356,89.0
357,44.0
358,67.0
359,170.0
360,60.0
361,188.0
362,75.0
363,95.0
364,154.0
365,62.0
366,88.0
367,86.0
368,127.0
369,84.0
370,115.0
371,46.0
372,65.0
373,85.0
374,44.0
375,88.0
376,60.0
377,81.0
378,76.0
379,37.0
380,48.0
381,73.0
382,44.0
383,67.0
384,55.0
385,50.0
386,65.0
387,36.0
388,50.0
389,54.0
390,57.0
391,43.0
392,47.0
393,31.0
394,40.0
395,40.0
396,31.0
397,38.0
398,35.0
399,31.0
400,26.0
401,44.0
402,41.0
403,27.0
404,25.0
405,37.0
406,39.0
407,26.0
408,44.0
409,25.0
410,62.0
411,22.0
412,44.0
413,91.0
414,127.0
415,121.0
416,121.0
417,122.0
418,125.0
419,78.0
420,72.0
421,59.0
422,231.0
423,42.0
424,103.0
425,116.0
426,75.0
427,115.0
428,304.0
429,100.0
430,128.0
431,37.0
432,38.0
433,55.0
