Episode,Return
1,17.0
2,18.0
3,11.0
4,12.0
5,23.0
6,24.0
7,31.0
8,17.0
9,17.0
10,13.0
11,15.0
12,11.0
13,26.0
14,22.0
15,47.0
16,93.0
17,31.0
18,26.0
19,25.0
20,58.0
21,54.0
22,12.0
23,10.0
24,11.0
25,9.0
26,12.0
27,25.0
28,19.0
29,16.0
30,23.0
31,54.0
32,18.0
33,49.0
34,70.0
35,24.0
36,18.0
37,19.0
38,22.0
39,50.0
40,41.0
41,44.0
42,25.0
43,30.0
44,44.0
45,38.0
46,24.0
47,22.0
48,24.0
49,38.0
50,41.0
51,37.0
52,23.0
53,37.0
54,53.0
55,25.0
56,23.0
57,18.0
58,15.0
59,21.0
60,26.0
61,25.0
62,30.0
63,50.0
64,74.0
65,65.0
66,32.0
67,129.0
68,56.0
69,39.0
70,34.0
71,104.0
72,59.0
73,53.0
74,39.0
75,56.0
76,160.0
77,96.0
78,84.0
79,64.0
80,31.0
81,47.0
82,28.0
83,39.0
84,49.0
85,114.0
86,33.0
87,61.0
88,59.0
89,48.0
90,50.0
91,102.0
92,85.0
93,77.0
94,76.0
95,48.0
96,72.0
97,58.0
98,49.0
99,316.0
100,113.0
101,42.0
102,65.0
103,68.0
104,101.0
105,48.0
106,96.0
107,77.0
108,37.0
109,44.0
110,53.0
111,40.0
112,69.0
113,152.0
114,49.0
115,48.0
116,45.0
117,59.0
118,73.0
119,55.0
120,34.0
121,58.0
122,78.0
123,80.0
124,71.0
125,47.0
126,48.0
127,64.0
128,69.0
129,55.0
130,88.0
131,99.0
132,55.0
133,69.0
134,51.0
135,96.0
136,102.0
137,136.0
138,43.0
139,14.0
140,15.0
141,15.0
142,19.0
143,52.0
144,186.0
145,61.0
146,62.0
147,53.0
148,76.0
149,60.0
150,26.0
151,48.0
152,64.0
153,48.0
154,40.0
155,40.0
156,54.0
157,77.0
158,60.0
159,107.0
160,119.0
161,88.0
162,56.0
163,57.0
164,125.0
165,330.0
166,166.0
167,250.0
168,285.0
169,420.0
170,155.0
171,307.0
172,260.0
173,180.0
174,148.0
175,178.0
176,58.0
177,181.0
178,189.0
179,224.0
180,406.0
181,335.0
182,213.0
183,334.0
184,500.0
185,500.0
186,264.0
187,194.0
188,277.0
189,16.0
190,139.0
191,155.0
192,321.0
193,500.0
194,295.0
195,192.0
196,155.0
197,16.0
198,186.0
199,166.0
200,130.0
201,168.0
202,500.0
203,500.0
204,500.0
205,467.0
206,370.0
207,271.0
208,148.0
209,16.0
210,254.0
211,210.0
212,165.0
213,143.0
214,167.0
215,130.0
216,12.0
217,163.0
218,177.0
219,283.0
220,297.0
221,229.0
222,351.0
223,267.0
224,180.0
225,184.0
226,185.0
227,189.0
228,360.0
229,433.0
230,500.0
231,500.0
232,500.0
233,500.0
234,500.0
235,167.0
236,11.0
237,500.0
238,500.0
239,439.0
240,157.0
241,172.0
242,159.0
243,152.0
244,141.0
245,158.0
246,168.0
247,145.0
248,144.0
249,137.0
250,126.0
251,174.0
252,164.0
253,147.0
254,147.0
255,133.0
256,156.0
257,160.0
258,157.0
259,163.0
260,162.0
261,131.0
262,124.0
263,123.0
264,124.0
265,126.0
266,129.0
267,139.0
268,123.0
269,118.0
270,149.0
271,148.0
272,170.0
273,142.0
274,155.0
275,139.0
276,132.0
277,133.0
278,139.0
279,164.0
280,174.0
281,223.0
282,161.0
283,178.0
284,149.0
285,140.0
286,123.0
287,124.0
288,137.0
289,118.0
290,116.0
291,11.0
292,384.0
293,9.0
294,9.0
295,9.0
296,500.0
297,12.0
298,11.0
299,10.0
300,192.0
301,168.0
302,143.0
303,169.0
304,185.0
305,181.0
306,148.0
307,149.0
308,140.0
309,159.0
310,146.0
311,123.0
312,101.0
313,114.0
314,108.0
315,95.0
316,99.0
317,83.0
318,84.0
319,81.0
320,80.0
321,92.0
322,105.0
323,96.0
324,90.0
325,103.0
326,111.0
327,133.0
328,165.0
329,205.0
330,229.0
331,177.0
332,192.0
333,227.0
334,196.0
335,156.0
336,128.0
337,165.0
338,168.0
339,146.0
340,185.0
341,158.0
342,201.0
343,234.0
344,106.0
345,66.0
346,72.0
347,78.0
348,56.0
349,61.0
350,72.0
351,91.0
352,76.0
353,77.0
354,135.0
355,94.0
356,107.0
357,103.0
358,94.0
359,93.0
360,332.0
361,180.0
362,183.0
363,211.0
364,119.0
365,143.0
366,225.0
367,181.0
368,183.0
369,140.0
370,179.0
371,242.0
372,129.0
373,207.0
374,261.0
375,212.0
376,162.0
377,182.0
378,171.0
379,100.0
380,110.0
381,105.0
382,97.0
383,103.0
384,99.0
385,90.0
386,109.0
387,120.0
388,155.0
389,136.0
390,116.0
391,128.0
392,141.0
393,156.0
394,121.0
395,138.0
396,114.0
397,168.0
398,145.0
399,155.0
400,135.0
401,100.0
402,109.0
403,145.0
404,136.0
405,166.0
406,393.0
407,245.0
408,160.0
409,161.0
410,111.0
411,117.0
412,99.0
413,99.0
414,95.0
415,122.0
