Episode,Return
1,35.0
2,22.0
3,16.0
4,25.0
5,41.0
6,29.0
7,13.0
8,13.0
9,31.0
10,18.0
11,12.0
12,17.0
13,11.0
14,10.0
15,10.0
16,12.0
17,17.0
18,23.0
19,14.0
20,26.0
21,12.0
22,19.0
23,19.0
24,11.0
25,15.0
26,24.0
27,25.0
28,16.0
29,13.0
30,25.0
31,14.0
32,12.0
33,10.0
34,8.0
35,30.0
36,14.0
37,10.0
38,38.0
39,24.0
40,12.0
41,16.0
42,15.0
43,13.0
44,16.0
45,21.0
46,14.0
47,19.0
48,14.0
49,15.0
50,11.0
51,22.0
52,23.0
53,10.0
54,9.0
55,11.0
56,17.0
57,11.0
58,22.0
59,11.0
60,16.0
61,10.0
62,12.0
63,11.0
64,12.0
65,9.0
66,10.0
67,12.0
68,11.0
69,21.0
70,11.0
71,11.0
72,9.0
73,10.0
74,12.0
75,11.0
76,12.0
77,14.0
78,24.0
79,13.0
80,11.0
81,15.0
82,16.0
83,13.0
84,24.0
85,15.0
86,17.0
87,10.0
88,16.0
89,15.0
90,26.0
91,12.0
92,25.0
93,14.0
94,9.0
95,19.0
96,15.0
97,22.0
98,11.0
99,9.0
100,15.0
101,19.0
102,25.0
103,14.0
104,11.0
105,14.0
106,20.0
107,11.0
108,14.0
109,20.0
110,13.0
111,18.0
112,12.0
113,28.0
114,27.0
115,11.0
116,29.0
117,41.0
118,39.0
119,27.0
120,18.0
121,24.0
122,21.0
123,71.0
124,40.0
125,48.0
126,77.0
127,29.0
128,39.0
129,30.0
130,17.0
131,18.0
132,26.0
133,15.0
134,45.0
135,13.0
136,21.0
137,34.0
138,20.0
139,45.0
140,30.0
141,95.0
142,28.0
143,29.0
144,28.0
145,83.0
146,70.0
147,31.0
148,37.0
149,30.0
150,79.0
151,68.0
152,63.0
153,43.0
154,25.0
155,47.0
156,100.0
157,54.0
158,40.0
159,83.0
160,59.0
161,53.0
162,38.0
163,50.0
164,53.0
165,79.0
166,112.0
167,36.0
168,28.0
169,88.0
170,102.0
171,51.0
172,47.0
173,170.0
174,81.0
175,105.0
176,38.0
177,36.0
178,80.0
179,56.0
180,72.0
181,57.0
182,128.0
183,99.0
184,86.0
185,123.0
186,131.0
187,101.0
188,110.0
189,191.0
190,241.0
191,28.0
192,83.0
193,41.0
194,113.0
195,113.0
196,145.0
197,125.0
198,160.0
199,198.0
200,162.0
201,164.0
202,109.0
203,142.0
204,353.0
205,180.0
206,226.0
207,161.0
208,360.0
209,301.0
210,272.0
211,232.0
212,166.0
213,157.0
214,114.0
215,129.0
216,156.0
217,173.0
218,208.0
219,215.0
220,228.0
221,151.0
222,198.0
223,188.0
224,214.0
225,231.0
226,66.0
227,195.0
228,184.0
229,202.0
230,260.0
231,290.0
232,272.0
233,235.0
234,309.0
235,325.0
236,206.0
237,182.0
238,181.0
239,107.0
240,125.0
241,149.0
242,119.0
243,133.0
244,146.0
245,113.0
246,142.0
247,139.0
248,123.0
249,122.0
250,111.0
251,117.0
252,122.0
253,110.0
254,119.0
255,114.0
256,145.0
257,106.0
258,130.0
259,109.0
260,119.0
261,112.0
262,143.0
263,133.0
264,170.0
265,173.0
266,133.0
267,152.0
268,197.0
269,194.0
270,190.0
271,166.0
272,170.0
273,183.0
274,196.0
275,233.0
276,241.0
277,225.0
278,307.0
279,500.0
280,500.0
281,500.0
282,432.0
283,500.0
284,500.0
285,500.0
286,500.0
287,371.0
288,201.0
289,247.0
290,335.0
291,206.0
292,183.0
293,221.0
294,262.0
295,500.0
296,464.0
297,500.0
298,500.0
299,445.0
300,494.0
301,467.0
302,500.0
303,500.0
304,500.0
305,500.0
306,500.0
307,500.0
308,500.0
309,500.0
310,416.0
311,411.0
312,351.0
313,236.0
314,284.0
315,290.0
316,272.0
317,262.0
318,329.0
319,271.0
320,432.0
321,447.0
322,424.0
323,500.0
324,500.0
325,500.0
326,500.0
327,481.0
328,500.0
329,475.0
330,500.0
331,500.0
332,500.0
333,351.0
334,446.0
335,397.0
336,500.0
337,378.0
338,335.0
339,428.0
340,500.0
341,500.0
342,500.0
343,500.0
344,342.0
345,323.0
346,386.0
347,384.0
348,278.0
349,224.0
350,232.0
351,235.0
352,220.0
353,241.0
354,220.0
355,214.0
356,208.0
357,219.0
358,233.0
359,269.0
360,381.0
361,336.0
362,323.0
363,373.0
364,500.0
365,500.0
366,500.0
367,500.0
368,500.0
369,500.0
370,490.0
371,417.0
372,244.0
373,195.0
374,201.0
375,186.0
376,178.0
377,201.0
378,198.0
379,210.0
380,186.0
381,206.0
382,189.0
383,187.0
384,201.0
385,198.0
386,209.0
387,204.0
388,240.0
389,267.0
390,366.0
391,404.0
392,500.0
393,418.0
394,469.0
395,290.0
396,276.0
397,221.0
398,270.0
399,239.0
400,211.0
401,177.0
402,198.0
403,211.0
404,242.0
405,248.0
406,250.0
407,249.0
408,267.0
409,289.0
410,323.0
411,314.0
412,453.0
413,500.0
414,500.0
415,497.0
416,500.0
417,500.0
418,500.0
419,500.0
420,500.0
421,500.0
422,500.0
423,500.0
424,500.0
425,500.0
426,500.0
427,500.0
428,500.0
429,500.0
430,500.0
431,500.0
432,500.0
433,500.0
434,500.0
435,500.0
436,500.0
437,500.0
438,500.0
439,500.0
440,500.0
441,500.0
442,500.0
443,500.0
444,500.0
445,500.0
446,500.0
447,500.0
448,500.0
449,500.0
450,500.0
451,500.0
452,12.0
453,500.0
454,500.0
455,500.0
456,500.0
457,360.0
458,202.0
459,324.0
460,500.0
461,228.0
462,333.0
463,500.0
464,500.0
465,500.0
466,216.0
467,19.0
468,15.0
469,102.0
470,104.0
471,19.0
472,20.0
473,27.0
474,17.0
475,18.0
476,13.0
477,22.0
478,20.0
479,103.0
480,19.0
481,111.0
482,142.0
483,230.0
484,500.0
485,500.0
486,500.0
487,500.0
488,500.0
489,500.0
490,500.0
491,500.0
492,500.0
493,500.0
494,500.0
495,500.0
496,500.0
497,500.0
498,500.0
499,500.0
500,500.0
501,500.0
502,500.0
503,500.0
504,500.0
505,500.0
506,500.0
507,500.0
508,500.0
509,500.0
510,500.0
511,500.0
512,500.0
513,500.0
514,494.0
515,208.0
516,159.0
517,19.0
518,11.0
519,20.0
520,19.0
521,15.0
522,14.0
523,171.0
524,220.0
525,317.0
526,403.0
527,308.0
528,191.0
529,167.0
530,9.0
531,10.0
532,170.0
533,206.0
534,203.0
535,223.0
536,220.0
537,225.0
538,288.0
539,239.0
540,211.0
541,191.0
542,172.0
543,156.0
544,152.0
545,142.0
546,130.0
547,123.0
548,123.0
549,121.0
550,100.0
551,110.0
552,103.0
553,21.0
554,27.0
555,19.0
556,15.0
557,12.0
558,16.0
559,104.0
560,126.0
561,158.0
562,194.0
563,299.0
564,485.0
565,500.0
566,500.0
567,416.0
