Episode,Return
1,24.0
2,23.0
3,18.0
4,33.0
5,10.0
6,16.0
7,19.0
8,34.0
9,14.0
10,23.0
11,25.0
12,22.0
13,60.0
14,11.0
15,55.0
16,58.0
17,36.0
18,24.0
19,25.0
20,16.0
21,14.0
22,14.0
23,11.0
24,9.0
25,18.0
26,20.0
27,42.0
28,18.0
29,11.0
30,15.0
31,14.0
32,27.0
33,31.0
34,24.0
35,20.0
36,61.0
37,13.0
38,10.0
39,28.0
40,21.0
41,24.0
42,22.0
43,22.0
44,56.0
45,15.0
46,28.0
47,18.0
48,15.0
49,15.0
50,10.0
51,23.0
52,21.0
53,33.0
54,15.0
55,18.0
56,15.0
57,18.0
58,31.0
59,30.0
60,37.0
61,21.0
62,11.0
63,27.0
64,19.0
65,13.0
66,31.0
67,24.0
68,39.0
69,18.0
70,14.0
71,28.0
72,22.0
73,30.0
74,12.0
75,26.0
76,18.0
77,16.0
78,14.0
79,12.0
80,40.0
81,45.0
82,42.0
83,14.0
84,28.0
85,19.0
86,14.0
87,11.0
88,14.0
89,23.0
90,12.0
91,16.0
92,16.0
93,14.0
94,26.0
95,30.0
96,57.0
97,20.0
98,10.0
99,31.0
100,23.0
101,27.0
102,11.0
103,18.0
104,54.0
105,17.0
106,32.0
107,11.0
108,42.0
109,14.0
110,9.0
111,22.0
112,22.0
113,16.0
114,30.0
115,58.0
116,29.0
117,15.0
118,19.0
119,36.0
120,23.0
121,22.0
122,12.0
123,18.0
124,21.0
125,26.0
126,12.0
127,22.0
128,21.0
129,39.0
130,21.0
131,17.0
132,22.0
133,9.0
134,18.0
135,12.0
136,15.0
137,32.0
138,48.0
139,13.0
140,13.0
141,9.0
142,10.0
143,16.0
144,42.0
145,14.0
146,42.0
147,10.0
148,67.0
149,14.0
150,10.0
151,30.0
152,14.0
153,25.0
154,30.0
155,21.0
156,10.0
157,16.0
158,13.0
159,17.0
160,23.0
161,21.0
162,21.0
163,27.0
164,17.0
165,16.0
166,40.0
167,11.0
168,23.0
169,40.0
170,15.0
171,20.0
172,12.0
173,19.0
174,17.0
175,14.0
176,15.0
177,12.0
178,27.0
179,36.0
180,29.0
181,24.0
182,15.0
183,28.0
184,28.0
185,26.0
186,11.0
187,13.0
188,35.0
189,26.0
190,19.0
191,31.0
192,96.0
193,12.0
194,65.0
195,23.0
196,18.0
197,12.0
198,14.0
199,16.0
200,26.0
201,17.0
202,19.0
203,36.0
204,28.0
205,14.0
206,37.0
207,11.0
208,13.0
209,18.0
210,12.0
211,16.0
212,14.0
213,16.0
214,11.0
215,13.0
216,27.0
217,21.0
218,11.0
219,12.0
220,26.0
221,33.0
222,16.0
223,11.0
224,13.0
225,18.0
226,26.0
227,20.0
228,17.0
229,18.0
230,15.0
231,31.0
232,20.0
233,18.0
234,19.0
235,18.0
236,12.0
237,11.0
238,12.0
239,43.0
240,32.0
241,19.0
242,26.0
243,36.0
244,43.0
245,23.0
246,18.0
247,12.0
248,17.0
249,18.0
250,13.0
251,57.0
252,28.0
253,33.0
254,36.0
255,32.0
256,18.0
257,21.0
258,24.0
259,22.0
260,14.0
261,37.0
262,17.0
263,34.0
264,29.0
265,31.0
266,18.0
267,13.0
268,17.0
269,32.0
270,10.0
271,37.0
272,14.0
273,25.0
274,14.0
275,12.0
276,18.0
277,28.0
278,35.0
279,22.0
280,26.0
281,25.0
282,16.0
283,16.0
284,14.0
285,44.0
286,12.0
287,14.0
288,17.0
289,21.0
290,31.0
291,14.0
292,18.0
293,21.0
294,10.0
295,43.0
296,20.0
297,15.0
298,14.0
299,15.0
300,12.0
301,17.0
302,20.0
303,14.0
304,17.0
305,17.0
306,16.0
307,11.0
308,13.0
309,28.0
310,45.0
311,15.0
312,15.0
313,50.0
314,14.0
315,16.0
316,13.0
317,23.0
318,35.0
319,49.0
320,12.0
321,23.0
322,29.0
323,26.0
324,44.0
325,22.0
326,28.0
327,24.0
328,14.0
329,40.0
330,12.0
331,52.0
332,18.0
333,13.0
334,31.0
335,11.0
336,19.0
337,10.0
338,39.0
339,30.0
340,21.0
341,28.0
342,10.0
343,30.0
344,32.0
345,25.0
346,42.0
347,66.0
348,18.0
349,19.0
350,35.0
351,11.0
352,30.0
353,11.0
354,42.0
355,22.0
356,20.0
357,16.0
358,23.0
359,21.0
360,18.0
361,28.0
362,19.0
363,72.0
364,41.0
365,25.0
366,31.0
367,12.0
368,25.0
369,14.0
370,45.0
371,27.0
372,16.0
373,23.0
374,39.0
375,14.0
376,43.0
377,26.0
378,15.0
379,23.0
380,22.0
381,66.0
382,29.0
383,35.0
384,14.0
385,21.0
386,25.0
387,39.0
388,15.0
389,30.0
390,16.0
391,18.0
392,56.0
393,21.0
394,10.0
395,38.0
396,20.0
397,25.0
398,38.0
399,22.0
400,21.0
401,72.0
402,33.0
403,20.0
404,42.0
405,29.0
406,33.0
407,44.0
408,17.0
409,45.0
410,27.0
411,10.0
412,14.0
413,27.0
414,14.0
415,14.0
416,17.0
417,22.0
418,39.0
419,12.0
420,41.0
421,19.0
422,27.0
423,40.0
424,18.0
425,26.0
426,11.0
427,38.0
428,12.0
429,43.0
430,15.0
431,22.0
432,13.0
433,26.0
434,30.0
435,17.0
436,29.0
437,31.0
438,55.0
439,41.0
440,14.0
441,43.0
442,41.0
443,43.0
444,37.0
445,19.0
446,54.0
447,23.0
448,109.0
449,25.0
450,17.0
451,19.0
452,29.0
453,24.0
454,42.0
455,20.0
456,25.0
457,17.0
458,18.0
459,35.0
460,12.0
461,22.0
462,21.0
463,20.0
464,23.0
465,51.0
466,33.0
467,71.0
468,11.0
469,35.0
470,24.0
471,40.0
472,22.0
473,18.0
474,48.0
475,23.0
476,17.0
477,26.0
478,29.0
479,25.0
480,26.0
481,40.0
482,25.0
483,60.0
484,39.0
485,25.0
486,12.0
487,13.0
488,33.0
489,39.0
490,15.0
491,25.0
492,30.0
493,33.0
494,15.0
495,73.0
496,38.0
497,39.0
498,16.0
499,27.0
500,37.0
501,16.0
502,24.0
503,25.0
504,21.0
505,35.0
506,13.0
507,31.0
508,20.0
509,10.0
510,20.0
511,23.0
512,51.0
513,41.0
514,13.0
515,16.0
516,21.0
517,35.0
518,25.0
519,15.0
520,52.0
521,30.0
522,26.0
523,14.0
524,15.0
525,21.0
526,37.0
527,43.0
528,23.0
529,14.0
530,14.0
531,18.0
532,43.0
533,28.0
534,21.0
535,33.0
536,24.0
537,49.0
538,21.0
539,55.0
540,23.0
541,23.0
542,50.0
543,30.0
544,24.0
545,11.0
546,40.0
547,29.0
548,15.0
549,39.0
550,18.0
551,15.0
552,26.0
553,24.0
554,15.0
555,21.0
556,16.0
557,18.0
558,28.0
559,57.0
560,55.0
561,30.0
562,20.0
563,17.0
564,17.0
565,13.0
566,31.0
567,32.0
568,31.0
569,24.0
570,37.0
571,37.0
572,69.0
573,16.0
574,35.0
575,59.0
576,44.0
577,33.0
578,57.0
579,37.0
580,29.0
581,22.0
582,42.0
583,29.0
584,38.0
585,23.0
586,61.0
587,15.0
588,31.0
589,60.0
590,10.0
591,26.0
592,22.0
593,22.0
594,25.0
595,74.0
596,60.0
597,36.0
598,34.0
599,51.0
600,46.0
601,23.0
602,30.0
603,16.0
604,35.0
605,18.0
606,86.0
607,27.0
608,49.0
609,22.0
610,18.0
611,46.0
612,32.0
613,25.0
614,43.0
615,41.0
616,40.0
617,14.0
618,31.0
619,27.0
620,15.0
621,25.0
622,37.0
623,17.0
624,36.0
625,16.0
626,18.0
627,35.0
628,39.0
629,40.0
630,26.0
631,87.0
632,23.0
633,29.0
634,25.0
635,30.0
636,17.0
637,15.0
638,140.0
639,18.0
640,24.0
641,53.0
642,38.0
643,32.0
644,17.0
645,27.0
646,44.0
647,21.0
648,16.0
649,22.0
650,23.0
651,36.0
652,61.0
653,18.0
654,122.0
655,22.0
656,29.0
657,36.0
658,30.0
659,29.0
660,26.0
661,36.0
662,17.0
663,29.0
664,33.0
665,16.0
666,25.0
667,28.0
668,14.0
669,10.0
670,39.0
671,73.0
672,49.0
673,12.0
674,13.0
675,49.0
676,54.0
677,97.0
678,60.0
679,59.0
680,15.0
681,24.0
682,65.0
683,111.0
684,59.0
685,41.0
686,13.0
687,86.0
688,43.0
689,27.0
690,23.0
691,23.0
692,25.0
693,18.0
694,44.0
695,61.0
696,39.0
697,63.0
698,34.0
699,35.0
700,41.0
701,19.0
702,21.0
703,25.0
704,130.0
705,19.0
706,75.0
707,68.0
708,49.0
709,13.0
710,46.0
711,42.0
712,14.0
713,26.0
714,46.0
715,22.0
716,30.0
717,21.0
718,23.0
719,17.0
720,33.0
721,22.0
722,80.0
723,31.0
724,18.0
725,49.0
726,24.0
727,53.0
728,28.0
729,33.0
730,30.0
731,39.0
732,27.0
733,70.0
734,26.0
735,12.0
736,32.0
737,48.0
738,14.0
739,89.0
740,69.0
741,29.0
742,54.0
743,18.0
744,21.0
745,34.0
746,16.0
747,25.0
748,14.0
749,86.0
750,22.0
751,27.0
752,20.0
753,40.0
754,47.0
755,45.0
756,18.0
757,42.0
758,72.0
759,35.0
760,32.0
761,54.0
762,17.0
763,47.0
764,111.0
765,34.0
766,42.0
767,26.0
768,41.0
769,35.0
770,17.0
771,53.0
772,17.0
773,26.0
774,23.0
775,48.0
776,55.0
777,21.0
778,34.0
779,35.0
780,15.0
781,27.0
782,22.0
783,16.0
784,56.0
785,52.0
786,57.0
787,28.0
788,14.0
789,11.0
790,61.0
791,61.0
792,44.0
793,20.0
794,34.0
795,61.0
796,35.0
797,60.0
798,44.0
799,23.0
800,22.0
801,45.0
802,53.0
803,36.0
804,42.0
805,40.0
806,32.0
807,44.0
808,18.0
809,48.0
810,72.0
811,45.0
812,53.0
813,36.0
814,41.0
815,32.0
816,60.0
817,72.0
818,35.0
819,22.0
820,24.0
821,47.0
822,27.0
823,71.0
824,42.0
825,28.0
826,46.0
827,26.0
828,21.0
829,63.0
830,94.0
831,42.0
832,24.0
833,11.0
