Episode,Return
1,14.0
2,45.0
3,22.0
4,30.0
5,19.0
6,37.0
7,11.0
8,22.0
9,14.0
10,26.0
11,18.0
12,41.0
13,33.0
14,16.0
15,10.0
16,36.0
17,17.0
18,10.0
19,11.0
20,23.0
21,21.0
22,10.0
23,30.0
24,11.0
25,17.0
26,11.0
27,23.0
28,16.0
29,13.0
30,46.0
31,14.0
32,16.0
33,26.0
34,19.0
35,14.0
36,42.0
37,21.0
38,24.0
39,17.0
40,25.0
41,18.0
42,16.0
43,47.0
44,29.0
45,29.0
46,48.0
47,21.0
48,20.0
49,15.0
50,59.0
51,20.0
52,92.0
53,23.0
54,37.0
55,31.0
56,52.0
57,16.0
58,29.0
59,34.0
60,57.0
61,49.0
62,28.0
63,19.0
64,18.0
65,15.0
66,15.0
67,17.0
68,39.0
69,21.0
70,45.0
71,20.0
72,42.0
73,25.0
74,31.0
75,17.0
76,136.0
77,42.0
78,18.0
79,37.0
80,56.0
81,51.0
82,37.0
83,45.0
84,19.0
85,97.0
86,93.0
87,56.0
88,53.0
89,29.0
90,54.0
91,22.0
92,103.0
93,22.0
94,65.0
95,45.0
96,25.0
97,112.0
98,19.0
99,30.0
100,66.0
101,55.0
102,36.0
103,20.0
104,22.0
105,64.0
106,46.0
107,39.0
108,74.0
109,28.0
110,85.0
111,33.0
112,28.0
113,44.0
114,57.0
115,25.0
116,28.0
117,90.0
118,28.0
119,24.0
120,42.0
121,44.0
122,90.0
123,35.0
124,28.0
125,33.0
126,137.0
127,23.0
128,23.0
129,31.0
130,42.0
131,47.0
132,50.0
133,60.0
134,59.0
135,30.0
136,24.0
137,59.0
138,49.0
139,19.0
140,36.0
141,25.0
142,23.0
143,29.0
144,76.0
145,23.0
146,34.0
147,124.0
148,30.0
149,28.0
150,147.0
151,50.0
152,24.0
153,87.0
154,35.0
155,86.0
156,66.0
157,160.0
158,57.0
159,35.0
160,72.0
161,58.0
162,76.0
163,53.0
164,33.0
165,101.0
166,90.0
167,40.0
168,195.0
169,70.0
170,32.0
171,33.0
172,21.0
173,37.0
174,62.0
175,48.0
176,123.0
177,90.0
178,39.0
179,32.0
180,29.0
181,90.0
182,50.0
183,26.0
184,67.0
185,39.0
186,34.0
187,37.0
188,37.0
189,50.0
190,55.0
191,61.0
192,66.0
193,196.0
194,58.0
195,132.0
196,32.0
197,54.0
198,77.0
199,78.0
200,55.0
201,124.0
202,83.0
203,67.0
204,146.0
205,67.0
206,122.0
207,104.0
208,67.0
209,42.0
210,35.0
211,52.0
212,178.0
213,40.0
214,27.0
215,197.0
216,147.0
217,118.0
218,92.0
219,188.0
220,65.0
221,62.0
222,71.0
223,111.0
224,31.0
225,121.0
226,39.0
227,115.0
228,102.0
229,94.0
230,86.0
231,103.0
232,116.0
233,215.0
234,138.0
235,132.0
236,112.0
237,270.0
238,107.0
239,112.0
240,51.0
241,173.0
242,100.0
243,142.0
244,116.0
245,105.0
246,165.0
247,169.0
248,36.0
249,46.0
250,139.0
251,104.0
252,144.0
253,33.0
254,85.0
255,29.0
256,60.0
257,68.0
258,141.0
259,88.0
260,114.0
261,110.0
262,244.0
263,59.0
264,93.0
265,156.0
266,33.0
267,93.0
268,88.0
269,385.0
270,202.0
271,97.0
272,70.0
273,62.0
274,153.0
275,169.0
276,140.0
277,90.0
278,118.0
279,184.0
280,100.0
281,181.0
282,98.0
283,174.0
284,132.0
285,58.0
286,148.0
287,30.0
288,150.0
289,80.0
290,191.0
291,142.0
292,155.0
293,103.0
294,96.0
295,124.0
296,88.0
297,224.0
298,98.0
299,159.0
300,127.0
301,110.0
302,88.0
303,103.0
304,220.0
305,219.0
306,258.0
307,45.0
308,251.0
309,162.0
310,234.0
311,243.0
312,198.0
313,152.0
314,115.0
315,148.0
316,232.0
317,317.0
318,171.0
319,155.0
320,186.0
321,127.0
322,86.0
323,82.0
324,194.0
325,219.0
326,276.0
327,130.0
328,219.0
329,178.0
330,264.0
331,280.0
332,132.0
333,49.0
334,159.0
335,148.0
336,127.0
337,134.0
338,184.0
339,98.0
340,81.0
341,57.0
342,101.0
343,143.0
344,227.0
345,138.0
346,77.0
347,101.0
348,160.0
349,224.0
350,265.0
351,196.0
352,179.0
353,264.0
354,152.0
355,99.0
356,173.0
357,159.0
358,227.0
359,74.0
360,237.0
361,179.0
362,332.0
363,284.0
364,195.0
365,146.0
366,138.0
367,251.0
368,66.0
369,280.0
370,278.0
371,327.0
372,368.0
373,114.0
374,249.0
375,199.0
376,188.0
377,125.0
378,140.0
379,117.0
380,32.0
381,124.0
382,108.0
383,128.0
384,153.0
385,223.0
386,207.0
387,305.0
388,500.0
389,273.0
390,157.0
391,271.0
392,233.0
393,312.0
394,87.0
395,421.0
396,185.0
397,142.0
398,358.0
399,184.0
400,132.0
401,296.0
402,392.0
403,402.0
404,218.0
405,343.0
406,196.0
407,224.0
408,211.0
409,85.0
410,248.0
411,219.0
412,162.0
413,226.0
414,150.0
415,189.0
416,197.0
417,194.0
418,206.0
419,194.0
420,123.0
421,252.0
422,180.0
423,184.0
424,272.0
425,157.0
426,218.0
427,132.0
428,329.0
429,500.0
430,500.0
431,233.0
432,267.0
433,208.0
434,152.0
435,254.0
436,161.0
437,150.0
438,146.0
439,137.0
440,189.0
441,199.0
442,281.0
443,211.0
444,268.0
445,219.0
446,248.0
447,235.0
448,141.0
449,325.0
450,278.0
451,131.0
452,296.0
453,149.0
454,145.0
455,430.0
456,120.0
457,307.0
458,187.0
459,177.0
460,232.0
461,95.0
462,111.0
463,213.0
464,140.0
465,256.0
466,166.0
467,211.0
468,190.0
469,193.0
470,148.0
471,129.0
472,214.0
473,187.0
474,189.0
475,166.0
476,148.0
477,162.0
478,267.0
479,245.0
480,309.0
481,318.0
482,371.0
483,365.0
484,130.0
485,228.0
486,386.0
487,123.0
488,37.0
489,186.0
490,243.0
491,225.0
492,274.0
493,159.0
494,184.0
495,177.0
496,381.0
497,192.0
498,327.0
499,232.0
500,373.0
501,80.0
502,256.0
503,131.0
504,211.0
505,382.0
506,481.0
507,482.0
508,434.0
509,157.0
510,414.0
511,500.0
512,423.0
513,352.0
514,292.0
515,367.0
516,226.0
517,230.0
518,148.0
519,187.0
520,194.0
521,306.0
522,260.0
523,230.0
524,312.0
525,246.0
526,500.0
527,425.0
528,141.0
529,193.0
530,350.0
531,205.0
532,206.0
533,289.0
534,228.0
535,198.0
536,238.0
537,500.0
538,385.0
539,306.0
540,61.0
541,259.0
542,225.0
543,130.0
544,301.0
545,334.0
546,254.0
547,167.0
548,415.0
549,438.0
550,283.0
551,369.0
552,183.0
553,133.0
554,236.0
555,121.0
556,371.0
557,356.0
558,500.0
559,406.0
560,457.0
561,302.0
562,500.0
563,464.0
564,338.0
565,260.0
566,383.0
567,348.0
568,278.0
569,124.0
570,269.0
571,298.0
572,500.0
573,309.0
574,231.0
575,198.0
576,280.0
577,354.0
578,326.0
579,263.0
580,186.0
581,263.0
582,298.0
583,343.0
584,500.0
585,500.0
586,334.0
587,340.0
588,275.0
589,302.0
590,238.0
591,269.0
592,201.0
593,267.0
594,237.0
595,284.0
596,276.0
597,230.0
598,227.0
599,222.0
600,190.0
601,195.0
602,179.0
603,201.0
604,179.0
605,187.0
606,209.0
607,223.0
608,222.0
609,177.0
610,212.0
611,178.0
612,193.0
613,194.0
614,165.0
615,220.0
616,251.0
617,251.0
618,335.0
619,500.0
620,500.0
621,274.0
622,217.0
623,276.0
624,293.0
625,256.0
626,245.0
627,270.0
628,150.0
629,218.0
630,181.0
631,205.0
632,171.0
633,18.0
634,186.0
635,188.0
636,115.0
637,267.0
638,263.0
639,374.0
640,360.0
641,389.0
642,360.0
643,500.0
644,267.0
645,93.0
646,251.0
647,220.0
648,271.0
649,147.0
650,204.0
651,227.0
652,249.0
653,254.0
654,238.0
655,275.0
656,351.0
657,136.0
658,362.0
659,326.0
660,283.0
661,236.0
662,246.0
663,284.0
664,82.0
665,132.0
666,247.0
667,500.0
668,171.0
669,226.0
670,323.0
671,324.0
672,500.0
673,494.0
674,500.0
675,500.0
676,500.0
677,432.0
678,310.0
679,438.0
680,252.0
681,486.0
682,334.0
683,167.0
684,280.0
685,338.0
686,382.0
687,500.0
688,500.0
689,500.0
690,500.0
691,500.0
692,500.0
693,500.0
694,500.0
695,141.0
696,347.0
697,195.0
698,500.0
699,482.0
700,327.0
701,174.0
702,292.0
703,62.0
704,223.0
705,175.0
706,63.0
707,191.0
708,118.0
709,245.0
710,62.0
711,187.0
712,206.0
713,127.0
714,25.0
715,262.0
716,447.0
717,422.0
718,421.0
719,180.0
720,144.0
721,75.0
722,205.0
723,436.0
724,500.0
725,310.0
726,344.0
727,71.0
728,283.0
729,339.0
730,334.0
731,369.0
732,295.0
733,282.0
734,82.0
735,121.0
736,272.0
737,234.0
738,389.0
739,365.0
740,410.0
741,459.0
742,176.0
743,382.0
744,418.0
745,429.0
746,320.0
747,75.0
748,80.0
749,231.0
750,256.0
751,133.0
752,95.0
753,176.0
754,134.0
755,154.0
756,246.0
757,182.0
758,124.0
759,131.0
760,69.0
761,95.0
762,72.0
763,119.0
764,234.0
765,197.0
766,302.0
767,207.0
768,246.0
769,367.0
770,257.0
771,244.0
772,311.0
773,385.0
774,356.0
775,296.0
776,354.0
777,380.0
778,353.0
779,272.0
780,182.0
781,313.0
782,279.0
783,221.0
784,207.0
785,237.0
786,227.0
787,216.0
788,372.0
789,318.0
790,262.0
791,182.0
792,163.0
793,173.0
794,151.0
795,183.0
796,203.0
797,293.0
