Run,Episode,Total Steps,Episode Reward
1,1,24,24.0
1,2,44,20.0
1,3,58,14.0
1,4,72,14.0
1,5,88,16.0
1,6,109,21.0
1,7,122,13.0
1,8,138,16.0
1,9,155,17.0
1,10,202,47.0
1,11,211,9.0
1,12,244,33.0
1,13,263,19.0
1,14,278,15.0
1,15,313,35.0
1,16,331,18.0
1,17,349,18.0
1,18,362,13.0
1,19,379,17.0
1,20,396,17.0
1,21,414,18.0
1,22,443,29.0
1,23,465,22.0
1,24,482,17.0
1,25,523,41.0
1,26,541,18.0
1,27,558,17.0
1,28,581,23.0
1,29,592,11.0
1,30,624,32.0
1,31,642,18.0
1,32,663,21.0
1,33,676,13.0
1,34,704,28.0
1,35,726,22.0
1,36,748,22.0
1,37,764,16.0
1,38,796,32.0
1,39,829,33.0
1,40,849,20.0
1,41,884,35.0
1,42,917,33.0
1,43,938,21.0
1,44,973,35.0
1,45,983,10.0
1,46,1020,37.0
1,47,1034,14.0
1,48,1071,37.0
1,49,1153,82.0
1,50,1179,26.0
1,51,1191,12.0
1,52,1247,56.0
1,53,1282,35.0
1,54,1322,40.0
1,55,1339,17.0
1,56,1360,21.0
1,57,1382,22.0
1,58,1397,15.0
1,59,1409,12.0
1,60,1442,33.0
1,61,1463,21.0
1,62,1477,14.0
1,63,1492,15.0
1,64,1506,14.0
1,65,1534,28.0
1,66,1575,41.0
1,67,1587,12.0
1,68,1614,27.0
1,69,1625,11.0
1,70,1640,15.0
1,71,1666,26.0
1,72,1683,17.0
1,73,1708,25.0
1,74,1722,14.0
1,75,1771,49.0
1,76,1786,15.0
1,77,1802,16.0
1,78,1821,19.0
1,79,1834,13.0
1,80,1854,20.0
1,81,1886,32.0
1,82,1897,11.0
1,83,1924,27.0
1,84,1964,40.0
1,85,1984,20.0
1,86,2006,22.0
1,87,2019,13.0
1,88,2035,16.0
1,89,2054,19.0
1,90,2085,31.0
1,91,2099,14.0
1,92,2163,64.0
1,93,2230,67.0
1,94,2266,36.0
1,95,2284,18.0
1,96,2330,46.0
1,97,2354,24.0
1,98,2371,17.0
1,99,2388,17.0
1,100,2446,58.0
1,101,2545,99.0
1,102,2601,56.0
1,103,2617,16.0
1,104,2635,18.0
1,105,2679,44.0
1,106,2691,12.0
1,107,2706,15.0
1,108,2743,37.0
1,109,2754,11.0
1,110,2780,26.0
1,111,2833,53.0
1,112,2845,12.0
1,113,2872,27.0
1,114,2895,23.0
1,115,2920,25.0
1,116,2959,39.0
1,117,2971,12.0
1,118,3014,43.0
1,119,3026,12.0
1,120,3041,15.0
1,121,3088,47.0
1,122,3119,31.0
1,123,3144,25.0
1,124,3165,21.0
1,125,3197,32.0
1,126,3207,10.0
1,127,3235,28.0
1,128,3287,52.0
1,129,3311,24.0
1,130,3343,32.0
1,131,3364,21.0
1,132,3379,15.0
1,133,3433,54.0
1,134,3459,26.0
1,135,3481,22.0
1,136,3504,23.0
1,137,3519,15.0
1,138,3533,14.0
1,139,3547,14.0
1,140,3592,45.0
1,141,3622,30.0
1,142,3639,17.0
1,143,3740,101.0
1,144,3796,56.0
1,145,3828,32.0
1,146,3845,17.0
1,147,3865,20.0
1,148,3879,14.0
1,149,3893,14.0
1,150,3910,17.0
1,151,3945,35.0
1,152,4004,59.0
1,153,4024,20.0
1,154,4034,10.0
1,155,4063,29.0
1,156,4095,32.0
1,157,4126,31.0
1,158,4208,82.0
