Run,Episode,Total Steps,Episode Reward
1,1,14,14.0
1,2,25,11.0
1,3,42,17.0
1,4,54,12.0
1,5,82,28.0
1,6,150,68.0
1,7,163,13.0
1,8,183,20.0
1,9,201,18.0
1,10,233,32.0
1,11,253,20.0
1,12,270,17.0
1,13,293,23.0
1,14,310,17.0
1,15,334,24.0
1,16,388,54.0
1,17,418,30.0
1,18,443,25.0
1,19,465,22.0
1,20,491,26.0
1,21,514,23.0
1,22,530,16.0
1,23,544,14.0
1,24,617,73.0
1,25,645,28.0
1,26,660,15.0
1,27,676,16.0
1,28,750,74.0
1,29,772,22.0
1,30,782,10.0
1,31,796,14.0
1,32,814,18.0
1,33,831,17.0
1,34,863,32.0
1,35,879,16.0
1,36,895,16.0
1,37,916,21.0
1,38,926,10.0
1,39,939,13.0
1,40,961,22.0
1,41,978,17.0
1,42,988,10.0
1,43,1023,35.0
1,44,1046,23.0
1,45,1064,18.0
1,46,1081,17.0
1,47,1123,42.0
1,48,1140,17.0
1,49,1158,18.0
1,50,1171,13.0
1,51,1181,10.0
1,52,1198,17.0
1,53,1209,11.0
1,54,1253,44.0
1,55,1271,18.0
1,56,1286,15.0
1,57,1329,43.0
1,58,1361,32.0
1,59,1378,17.0
1,60,1390,12.0
1,61,1406,16.0
1,62,1431,25.0
1,63,1448,17.0
1,64,1468,20.0
1,65,1483,15.0
1,66,1495,12.0
1,67,1512,17.0
1,68,1525,13.0
1,69,1536,11.0
1,70,1552,16.0
1,71,1568,16.0
1,72,1583,15.0
1,73,1600,17.0
1,74,1615,15.0
1,75,1637,22.0
1,76,1657,20.0
1,77,1673,16.0
1,78,1687,14.0
1,79,1701,14.0
1,80,1713,12.0
1,81,1725,12.0
1,82,1742,17.0
1,83,1756,14.0
1,84,1782,26.0
1,85,1815,33.0
1,86,1828,13.0
1,87,1854,26.0
1,88,1877,23.0
1,89,1890,13.0
1,90,1923,33.0
1,91,1970,47.0
1,92,2011,41.0
1,93,2023,12.0
1,94,2036,13.0
1,95,2058,22.0
1,96,2075,17.0
1,97,2099,24.0
1,98,2121,22.0
1,99,2134,13.0
1,100,2219,85.0
1,101,2237,18.0
1,102,2263,26.0
1,103,2274,11.0
1,104,2290,16.0
1,105,2302,12.0
1,106,2334,32.0
1,107,2357,23.0
1,108,2368,11.0
1,109,2387,19.0
1,110,2403,16.0
1,111,2459,56.0
1,112,2477,18.0
1,113,2506,29.0
1,114,2515,9.0
1,115,2528,13.0
1,116,2542,14.0
1,117,2562,20.0
1,118,2612,50.0
1,119,2654,42.0
1,120,2683,29.0
1,121,2696,13.0
1,122,2708,12.0
1,123,2736,28.0
1,124,2754,18.0
1,125,2774,20.0
1,126,2790,16.0
1,127,2832,42.0
1,128,2850,18.0
1,129,2915,65.0
1,130,2957,42.0
1,131,2976,19.0
1,132,2994,18.0
1,133,3007,13.0
1,134,3048,41.0
1,135,3071,23.0
1,136,3104,33.0
1,137,3118,14.0
1,138,3139,21.0
1,139,3155,16.0
1,140,3178,23.0
1,141,3226,48.0
1,142,3245,19.0
1,143,3290,45.0
1,144,3307,17.0
1,145,3338,31.0
1,146,3360,22.0
1,147,3376,16.0
1,148,3385,9.0
1,149,3402,17.0
1,150,3419,17.0
1,151,3435,16.0
1,152,3465,30.0
1,153,3495,30.0
1,154,3521,26.0
1,155,3538,17.0
1,156,3559,21.0
1,157,3575,16.0
1,158,3636,61.0
1,159,3680,44.0
1,160,3729,49.0
1,161,3824,95.0
1,162,3845,21.0
1,163,3860,15.0
1,164,3888,28.0
1,165,3920,32.0
1,166,3951,31.0
1,167,3970,19.0
1,168,4040,70.0
1,169,4074,34.0
1,170,4087,13.0
1,171,4099,12.0
1,172,4151,52.0
1,173,4198,47.0
1,174,4214,16.0
1,175,4251,37.0
1,176,4281,30.0
1,177,4358,77.0
1,178,4391,33.0
1,179,4405,14.0
1,180,4477,72.0
1,181,4508,31.0
1,182,4526,18.0
1,183,4589,63.0
1,184,4613,24.0
1,185,4647,34.0
1,186,4671,24.0
1,187,4714,43.0
1,188,4736,22.0
1,189,4752,16.0
1,190,4771,19.0
1,191,4806,35.0
1,192,4828,22.0
1,193,4841,13.0
1,194,4857,16.0
1,195,4885,28.0
1,196,4919,34.0
1,197,4978,59.0
1,198,5001,23.0
1,199,5014,13.0
1,200,5063,49.0
1,201,5092,29.0
1,202,5125,33.0
1,203,5176,51.0
1,204,5197,21.0
1,205,5249,52.0
1,206,5278,29.0
1,207,5318,40.0
1,208,5401,83.0
1,209,5417,16.0
1,210,5504,87.0
1,211,5555,51.0
1,212,5578,23.0
1,213,5595,17.0
1,214,5616,21.0
1,215,5632,16.0
